Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2001,23.00,29.35,14.35,15.75,2672886,13367,57654579.00,,,15.00,-7.25,@
2001,17.00,23.90,11.00,20.10,1253568,7538,21995767.00,,,12.90,3.10,
2002,21.10,33.85,16.10,20.15,3276646,22027,84046161.00,2154998,65.77,17.75,-0.95,
2003,20.00,32.25,13.90,30.65,18548231,75116,481260754.00,11502764,62.02,18.35,10.65,
2004,31.50,32.30,12.90,21.70,36561751,139308,699922855.00,22908415,62.66,19.40,-9.80,
2005,22.25,34.75,17.00,30.20,98298561,209260,2628370318.00,43693787,44.45,17.75,7.95,
2006,30.40,44.80,20.60,31.70,70357343,219195,2239478009.00,34621440,49.21,24.20,1.30,
2007,32.10,63.20,22.50,61.35,97837301,290562,4037279384.00,59627840,60.95,40.70,29.25,
2008,62.80,67.00,26.50,29.15,33031143,120574,1685775564.00,23131752,70.03,40.50,-33.65,
2009,30.00,147.95,22.00,140.00,42454430,246900,3668604254.00,24445056,57.58,125.95,110.00,
2010,141.95,338.50,127.70,283.45,29781622,380836,7193136183.00,13656182,45.85,210.80,141.50,
2011,291.80,298.90,148.35,154.95,9107533,166574,2193807467.00,4245410,46.61,150.55,-136.85,
2012,155.50,289.45,141.80,264.75,6509526,134986,1510641210.00,2642614,40.60,147.65,109.25,
2013,266.85,286.00,141.00,213.10,5211421,116510,1005295742.00,3472206,66.63,145.00,-53.75,
2014,212.00,694.70,172.00,652.05,6530949,357411,2774426015.00,3003893,45.99,522.70,440.05,
2015,650.00,847.05,605.10,652.75,4631210,278174,3228978675.00,2421136,52.28,241.95,2.75,
2016,647.80,1192.00,561.45,897.45,2523953,101393,2026886839.00,1912226,75.76,630.55,249.65,
2017,898.00,1612.00,883.65,1567.60,3270241,87982,3863057665.00,2795457,85.48,728.35,669.60,
2018,1598.00,1680.00,1248.00,1509.85,358718,29310,545791602.00,147201,41.04,432.00,-88.15,
@ Shares traded in Physical form
