Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,205.45,211.20,205.45,210.40,209.377157924834005781,157385,2095,32952824.00,29514,18.75,5.75,4.95
29-November-2016,204.50,207.10,204.00,205.25,205.861518207201863398,138242,1596,28458708.00,24795,17.94,3.10,0.75
28-November-2016,203.00,205.75,201.50,204.20,204.099978241133261804,266558,1845,54404482.00,113028,42.40,4.25,1.20
25-November-2016,197.05,203.90,197.05,203.10,202.192863369799440720,386569,2419,78161493.00,212724,55.03,6.85,6.05
24-November-2016,193.00,205.10,193.00,201.05,199.237640960349217897,219920,3859,43816342.00,24553,11.16,12.10,8.05
23-November-2016,198.00,199.40,193.90,198.30,196.896130061732043174,186127,1972,36647686.00,41567,22.33,5.50,0.30
22-November-2016,196.00,197.00,191.00,195.55,194.109784064848663745,132123,1609,25646367.00,33044,25.01,6.00,-0.45
21-November-2016,201.00,201.00,192.95,193.40,195.437470442757797297,128987,2709,25208893.00,43491,33.72,8.05,-7.60
18-November-2016,195.00,201.75,192.05,198.95,196.311160494042759409,229049,2804,44964875.00,58226,25.42,9.70,3.95
17-November-2016,202.40,202.40,192.85,194.20,197.866539023702272785,233986,3662,46298000.00,61541,26.30,9.55,-8.20
16-November-2016,212.90,213.35,201.50,202.40,205.115475420854325023,351131,4399,72022402.00,82788,23.58,11.85,-10.50
15-November-2016,223.70,241.25,208.75,209.95,237.820506795622114798,45009860,18434,10704267716.00,39156587,87.00,32.50,-13.75
11-November-2016,230.10,230.10,218.35,219.45,221.609537235538382314,273811,4797,60679129.00,87995,32.14,11.75,-10.65
10-November-2016,234.00,236.30,229.75,230.70,232.434479399706704060,186842,3265,43428523.00,71071,38.04,6.55,-3.30
9-November-2016,238.00,238.00,220.10,231.30,230.844553576282550785,275915,5214,63693475.00,56309,20.41,17.90,-6.70
8-November-2016,242.85,245.00,241.90,244.15,243.273484621280282581,60018,1351,14600788.00,9273,15.45,3.10,1.30
7-November-2016,240.85,247.15,240.85,241.65,243.920522165082945468,118813,2318,28980929.00,28310,23.83,6.30,0.80
4-November-2016,243.10,245.95,238.15,240.85,242.673035065159182128,179637,3245,43593056.00,29242,16.28,7.80,-2.25
3-November-2016,240.00,244.90,235.55,243.20,241.128177506737878679,728716,10278,175713961.00,113076,15.52,9.35,3.20
2-November-2016,240.55,244.35,239.30,240.60,242.075452177945845670,56062,1353,13571234.00,13601,24.26,5.05,0.05
1-November-2016,240.00,245.60,238.65,244.40,243.548214620191734636,117454,2267,28605712.00,38658,32.91,6.95,4.40
