Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,80.25,80.65,79.25,79.55,79.779053407620012381,639684,2706,51033384.00,215072,33.62,1.40,-0.70
29-November-2016,78.25,81.10,78.25,80.00,80.185522938132102079,990643,3863,79435227.00,247024,24.94,2.85,1.75
28-November-2016,77.50,78.50,77.10,78.25,78.060329452454507756,793377,2807,61931270.00,310632,39.15,1.40,0.75
25-November-2016,76.05,77.70,75.70,77.05,76.684138931632545241,1126223,3787,86363441.00,389333,34.57,2.00,1.00
24-November-2016,77.00,77.10,75.60,75.85,76.330106904503018259,853472,2977,65145609.00,352361,41.29,1.50,-1.15
23-November-2016,76.50,77.75,75.00,77.25,76.473986642557100335,932963,3538,71347400.00,227386,24.37,2.75,0.75
22-November-2016,77.45,77.45,73.60,75.75,75.276737008683346920,1105219,4612,83197280.00,306621,27.74,3.85,-1.70
21-November-2016,80.40,80.50,75.55,75.95,77.172510238141688895,1173797,4937,90584861.00,423415,36.07,4.95,-4.45
18-November-2016,79.45,80.40,78.65,79.60,79.614592814911395934,975576,3809,77670086.00,323132,33.12,1.75,0.15
17-November-2016,79.00,80.10,78.15,78.95,79.209682125064061814,1168793,4950,92579722.00,338157,28.93,1.95,-0.05
16-November-2016,83.80,83.90,77.40,79.20,81.347420825217973760,2848508,9712,231718779.00,657908,23.10,6.50,-4.60
15-November-2016,87.95,87.95,81.70,82.65,83.827128776247269759,1602881,6039,134364912.00,436784,27.25,6.25,-5.30
11-November-2016,88.00,90.00,87.05,87.40,88.586150782242884887,1537502,5246,136201384.00,410944,26.73,2.95,-0.60
10-November-2016,92.00,93.50,88.90,89.45,91.330383144338424650,1323757,7229,120899234.00,379035,28.63,4.60,-2.55
9-November-2016,83.70,91.95,82.60,91.40,88.102826641095596512,3057622,17503,269385141.00,495692,16.21,9.35,7.70
8-November-2016,89.65,92.10,88.30,91.75,90.882227035211079577,3183515,11312,289324933.00,449036,14.11,3.80,2.10
7-November-2016,91.50,92.10,89.45,89.65,90.589236012642889921,969715,3749,87845741.00,284894,29.38,2.65,-1.85
4-November-2016,91.60,92.40,89.00,90.60,90.728418037259334320,1847376,6297,167609502.00,530845,28.74,3.40,-1.00
3-November-2016,89.80,92.25,89.60,91.00,91.392375997053380473,1333053,5420,121830881.00,393487,29.52,2.65,1.20
2-November-2016,89.30,91.10,88.00,89.80,89.709682179186258239,1314766,4718,117947240.00,298187,22.68,3.10,0.50
1-November-2016,91.30,92.65,89.65,90.10,91.189989904577170453,2015765,9011,183817590.00,527255,26.16,3.00,-1.20
