Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,969.00,974.05,955.05,969.85,966.416603909090455694,200507,5215,193773294.00,98410,49.08,19.00,0.85
29-November-2016,942.00,965.00,935.80,958.40,955.485412787088764742,106326,5844,101592942.00,33123,31.15,29.20,16.40
28-November-2016,950.00,967.75,936.00,938.00,947.073496728957335587,95841,3718,90768471.00,22841,23.83,31.75,-12.00
25-November-2016,946.85,953.20,940.20,945.15,946.569803140232823327,79803,4648,75539110.00,27658,34.66,13.00,-1.70
24-November-2016,939.15,966.00,931.00,937.70,951.679742178364657901,175315,8009,166843734.00,43915,25.05,35.00,-1.45
23-November-2016,915.00,947.00,912.30,942.50,933.771512866743156859,109818,6272,102544920.00,36729,33.45,34.70,27.50
22-November-2016,901.00,915.00,895.00,907.35,903.906727101551960089,103031,6364,93130414.00,37555,36.45,20.00,6.35
21-November-2016,925.00,925.00,891.75,899.70,902.647155059066775064,99633,4187,89933444.00,31790,31.91,33.25,-25.30
18-November-2016,930.00,930.00,901.00,907.25,916.467733370476447493,114871,4047,105275565.00,37595,32.73,29.00,-22.75
17-November-2016,934.35,948.30,915.00,918.25,932.518765483912391201,319283,6220,297737389.00,213104,66.74,33.30,-16.10
16-November-2016,921.00,943.50,903.40,934.35,927.030107456427729000,183144,5790,169780002.00,59509,32.49,40.10,13.35
15-November-2016,970.00,975.00,871.80,892.20,894.971875844723635808,425435,10878,380752360.00,203960,47.94,103.20,-77.80
11-November-2016,1000.00,1005.00,958.55,963.60,973.427798071234729043,212986,8523,207326493.00,85965,40.36,46.45,-36.40
10-November-2016,1060.00,1060.00,1010.00,1014.50,1027.780259805354830625,119705,5066,123030436.00,35916,30.00,50.00,-45.50
9-November-2016,1025.00,1058.00,952.40,1051.30,1020.069741624045864769,181054,10717,184687707.00,43558,24.06,105.60,26.30
8-November-2016,1040.30,1059.50,1040.30,1056.50,1049.269280650949597598,56287,2219,59060220.00,17807,31.64,19.20,16.20
7-November-2016,1047.45,1060.00,1028.00,1037.65,1044.133567354911228429,108537,4501,113327125.00,36465,33.60,32.00,-9.80
4-November-2016,1039.55,1054.45,1034.60,1042.65,1043.813867417159820344,103754,4431,108299864.00,26765,25.80,19.85,3.10
3-November-2016,1060.00,1067.35,1034.00,1036.95,1046.313759012023529676,88909,3864,93026710.00,34057,38.31,33.35,-23.05
2-November-2016,1069.00,1082.35,1056.30,1062.05,1069.293472868217054263,64500,2850,68969429.00,22146,34.33,26.05,-6.95
1-November-2016,1075.00,1087.40,1072.45,1075.80,1079.531907038202945862,51462,2936,55554871.00,22760,44.23,14.95,0.80
