Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,748.00,749.95,733.00,739.85,741.932436184676662645,208884,4161,154977815.00,30270,14.49,16.95,-8.15
29-November-2016,744.85,746.80,731.00,740.15,741.235464748589690617,118591,3200,87903855.00,22664,19.11,15.80,-4.70
28-November-2016,740.00,748.45,733.00,735.90,738.174588646433548977,96146,2830,70972534.00,22732,23.64,15.45,-4.10
25-November-2016,715.55,744.00,712.70,739.90,731.746007659917577495,178592,5337,130683983.00,35003,19.60,31.30,24.35
24-November-2016,729.00,730.00,706.50,710.95,717.109115437905636986,137130,3884,98337173.00,32879,23.98,23.50,-18.05
23-November-2016,729.40,733.50,717.55,731.20,726.590866995795939850,150093,3342,109056203.00,55883,37.23,15.95,1.80
22-November-2016,716.50,728.95,704.25,718.80,718.394755689582057202,212230,6647,152464919.00,35050,16.52,24.70,2.30
21-November-2016,725.05,727.00,709.00,711.80,718.098161367077655202,92460,2717,66395356.00,22013,23.81,18.00,-13.25
18-November-2016,724.00,727.80,713.55,721.95,720.706143098697816670,148443,3776,106983782.00,20553,13.85,14.25,-2.05
17-November-2016,714.90,722.60,705.55,712.35,712.275862755442302141,301389,6913,214672110.00,156034,51.77,17.05,-2.55
16-November-2016,749.00,751.85,698.55,714.55,717.102667856396586679,354142,10112,253956173.00,52129,14.72,53.30,-34.45
15-November-2016,792.00,792.00,728.00,732.95,754.979863333318741545,228439,8158,172466845.00,52571,23.01,64.00,-59.05
11-November-2016,795.00,795.85,766.45,771.90,781.703552537060014366,122504,4027,95761812.00,18249,14.90,29.40,-23.10
10-November-2016,775.00,803.95,772.00,790.45,789.776537655826092929,174714,6036,137985018.00,43297,24.78,31.95,15.45
9-November-2016,708.00,770.95,681.10,759.60,728.542784488100329019,916664,16180,667828943.00,492741,53.75,89.85,51.60
8-November-2016,776.90,776.90,750.25,756.75,757.845517081689162461,103649,3221,78549930.00,20650,19.92,26.65,-20.15
7-November-2016,752.80,775.55,751.40,766.60,764.418688292284706498,259692,7114,198513418.00,78897,30.38,24.15,13.80
4-November-2016,765.00,765.00,707.70,726.75,732.517086838298612436,471474,14011,345362761.00,104576,22.18,57.30,-38.25
3-November-2016,790.00,795.75,767.25,769.95,781.547538067512702896,121429,4435,94902536.00,32948,27.13,28.50,-20.05
2-November-2016,805.00,805.00,787.10,789.00,791.575412883114871536,103298,3609,81768157.00,29043,28.12,17.90,-16.00
1-November-2016,819.00,826.80,806.00,808.90,816.802173973998298954,106993,3664,87392115.00,33125,30.96,20.80,-10.10
