Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,465.90,470.95,462.25,469.75,466.314119193059126937,528118,9547,246268880.00,212831,40.30,8.70,3.85
29-November-2016,472.80,475.60,463.80,465.30,470.135768541099951265,966461,7398,454367885.00,198892,20.58,11.80,-7.50
28-November-2016,464.10,477.00,461.30,472.80,469.527632360084192347,518812,7272,243596570.00,69609,13.42,15.70,8.70
25-November-2016,471.25,473.60,465.65,471.35,469.425954183507761879,612094,6603,287332810.00,80587,13.17,7.95,0.10
24-November-2016,479.00,479.00,466.00,468.00,472.287246047345679265,243697,4560,115094985.00,79228,32.51,13.00,-11.00
23-November-2016,475.90,482.15,468.80,480.45,476.173950605907017463,434060,5740,206688065.00,72464,16.69,13.35,4.55
22-November-2016,469.90,475.00,458.60,471.30,465.584015045830578417,564143,7119,262655963.00,102784,18.22,16.40,1.40
21-November-2016,479.20,479.20,463.50,465.85,467.944910246421551391,645601,9915,302105702.00,193079,29.91,15.70,-13.35
18-November-2016,476.20,478.95,472.00,473.45,474.899198246231684699,551042,6082,261689404.00,99131,17.99,6.95,-2.75
17-November-2016,474.70,483.95,472.05,474.40,477.699538225777251946,392183,8732,187345638.00,119957,30.59,11.90,-0.30
16-November-2016,483.55,486.95,470.10,472.05,478.853287281286516234,716291,10203,342998300.00,242995,33.92,16.85,-11.50
15-November-2016,499.00,503.45,476.80,479.15,488.378600351068854982,514429,9937,251236115.00,119791,23.29,26.65,-19.85
11-November-2016,501.50,512.55,495.35,498.40,501.582484394455562724,486686,7332,244113173.00,116722,23.98,17.20,-3.10
10-November-2016,495.00,512.90,494.00,506.55,505.567446361207167557,1017920,22322,514627215.00,348331,34.22,18.90,11.55
9-November-2016,455.00,493.00,455.00,487.75,480.845422789430919492,839354,17510,403599529.00,182579,21.75,38.00,32.75
8-November-2016,486.00,492.00,483.20,490.80,488.202087319533831970,431175,11598,210500535.00,199027,46.16,8.80,4.80
7-November-2016,484.80,488.90,482.20,484.40,484.774173209891011367,426650,7836,206828901.00,144037,33.76,6.70,-0.40
4-November-2016,474.00,484.65,473.75,478.10,480.232506229516710685,924229,20813,443844809.00,281597,30.47,10.90,4.10
3-November-2016,474.20,479.55,473.40,475.55,476.257266567855153315,497243,9896,236815592.00,192887,38.79,6.15,1.35
2-November-2016,470.00,479.75,468.45,475.70,473.928226546913077395,724265,12223,343249627.00,204657,28.26,11.30,5.70
1-November-2016,488.10,488.90,474.00,475.45,479.425959493847387318,631114,12768,302572435.00,258692,40.99,14.90,-12.65
