Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,2687.00,2690.00,2664.90,2683.75,2681.314618951028687337,13804,1154,37012867.00,2453,17.77,25.10,-3.25
29-November-2016,2637.45,2690.00,2637.45,2661.80,2668.490092690236998390,18017,1522,48078186.00,2621,14.55,52.55,24.35
28-November-2016,2622.80,2662.00,2615.05,2637.45,2639.829185574396942918,20935,1935,55264824.00,1848,8.83,46.95,14.65
25-November-2016,2630.00,2641.95,2603.70,2612.85,2615.063560777846492132,14553,1381,38057020.00,4280,29.41,38.25,-17.15
24-November-2016,2596.00,2651.20,2558.05,2632.30,2625.271648614815217982,18373,1917,48234116.00,1970,10.72,93.15,36.30
23-November-2016,2600.00,2622.35,2567.50,2595.75,2594.953099405121131131,23198,1907,60197722.00,5067,21.84,54.85,-4.25
22-November-2016,2565.00,2610.90,2518.55,2600.60,2570.532507593014426727,21072,1990,54166261.00,6280,29.80,92.35,35.60
21-November-2016,2571.60,2584.10,2512.50,2527.60,2540.518186379029223629,15946,1635,40511103.00,3393,21.28,71.60,-44.00
18-November-2016,2550.00,2580.00,2547.00,2574.60,2568.435152951633212354,13501,1197,34676443.00,2146,15.90,33.00,24.60
17-November-2016,2588.00,2653.00,2524.90,2544.35,2574.039756458779002797,30385,3701,78212198.00,3583,11.79,128.10,-43.65
16-November-2016,2576.00,2660.00,2572.00,2610.85,2618.148286460226709408,30259,2812,79222549.00,1877,6.20,88.00,34.85
15-November-2016,2644.00,2656.55,2510.00,2575.75,2571.637726153516754094,28023,3255,72065004.00,4541,16.20,146.55,-68.25
11-November-2016,2735.30,2857.00,2635.05,2648.05,2671.186851338873499538,27075,2757,72322384.00,5375,19.85,221.95,-87.25
10-November-2016,2800.95,2849.00,2715.60,2735.30,2775.339982989252300317,25866,2701,71786944.00,6138,23.73,133.40,-65.65
9-November-2016,2775.00,2824.65,2666.10,2781.60,2752.594164915317097292,40445,6010,111328671.00,6657,16.46,158.55,6.60
8-November-2016,2828.00,2875.00,2824.95,2865.70,2860.918901557732455436,18681,1942,53444826.00,5039,26.97,50.05,37.70
7-November-2016,2814.35,2848.05,2787.05,2828.10,2822.749452261551195287,20539,2111,57976451.00,3086,15.03,61.00,13.75
4-November-2016,2829.90,2849.00,2805.00,2813.35,2824.086490037223560324,18268,2028,51590412.00,4438,24.29,44.00,-16.55
3-November-2016,2820.00,2852.20,2792.55,2831.45,2828.249831081081081081,17760,2372,50229717.00,4533,25.52,59.65,11.45
2-November-2016,2802.35,2839.80,2771.00,2817.65,2802.095536200326619488,18370,1946,51474495.00,3081,16.77,68.80,15.30
1-November-2016,2830.00,2910.00,2811.20,2824.70,2840.640051562026084319,39564,3385,112387083.00,15045,38.03,98.80,-5.30
