Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,2959.95,3004.95,2910.00,2985.00,2962.693845929490685041,54858,5294,162527459.00,24951,45.48,94.95,25.05
29-November-2016,2952.10,2980.55,2921.50,2935.95,2953.041058887088060507,9255,1612,27330395.00,2697,29.14,59.05,-16.15
28-November-2016,2970.00,2998.00,2930.00,2939.80,2961.529381012128816394,9564,1828,28324067.00,2348,24.55,68.00,-30.20
25-November-2016,2983.00,3029.00,2940.00,2968.00,2982.119123857255557102,21549,3984,64261685.00,6503,30.18,89.00,-15.00
24-November-2016,2915.55,3025.05,2884.05,2977.15,2967.602028154550511317,46742,5226,138711654.00,18841,40.31,141.00,61.60
23-November-2016,2932.25,2958.00,2877.45,2926.35,2920.275981161695447409,15925,2860,46505395.00,6976,43.81,80.55,-5.90
22-November-2016,2889.95,2965.50,2875.25,2909.85,2898.485404040404040404,19800,3793,57390011.00,6134,30.98,90.25,19.90
21-November-2016,2945.05,2990.00,2782.50,2842.40,2852.769761892674011270,19697,3682,56191006.00,5992,30.42,207.50,-102.65
18-November-2016,2950.00,3015.85,2928.00,2945.05,2967.798663604092712466,23945,4789,71063939.00,7525,31.43,87.85,-4.95
17-November-2016,2958.05,3093.00,2885.00,2930.70,3003.336799391326401217,23658,4651,71052942.00,5866,24.79,208.00,-27.35
16-November-2016,2880.00,3033.55,2859.80,2923.95,2933.345839440748675160,35476,6154,104063377.00,9119,25.70,173.75,43.95
15-November-2016,3034.95,3040.90,2775.30,2810.50,2840.763073552016221342,61154,5851,173724025.00,27909,45.64,265.60,-224.45
11-November-2016,3051.00,3117.50,2901.00,3023.70,2992.064739351068737505,32515,4131,97286985.00,11708,36.01,216.50,-27.30
10-November-2016,3070.00,3142.00,3064.05,3086.85,3097.394847131569907248,14555,2856,45082582.00,4187,28.77,77.95,16.85
9-November-2016,2950.00,3180.00,2515.95,3031.70,2959.278402121664180341,30165,4123,89266633.00,9475,31.41,664.05,81.70
8-November-2016,3180.00,3185.05,3026.00,3069.35,3063.028334407667946526,35681,6580,109291914.00,13433,37.65,159.05,-110.65
7-November-2016,3255.00,3282.45,3123.00,3150.30,3192.704274809160305343,13100,2711,41824426.00,3481,26.57,159.45,-104.70
4-November-2016,3375.00,3375.00,3181.70,3196.80,3245.791404977901837636,17196,3545,55814629.00,6161,35.83,193.30,-178.20
3-November-2016,3390.00,3403.00,3327.90,3354.25,3362.732788604869430795,18113,2459,60909179.00,10049,55.48,75.10,-35.75
2-November-2016,3440.00,3440.00,3349.80,3365.00,3384.946323660316895139,11234,2467,38026487.00,4028,35.86,90.20,-75.00
1-November-2016,3418.00,3479.10,3415.15,3463.25,3460.286587183308494783,13420,2137,46437046.00,7147,53.26,63.95,45.25
