Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,928.00,940.00,910.00,919.40,919.602521200242765747,179597,12621,165157854.00,63060,35.11,30.00,-8.60
29-November-2016,897.50,926.10,883.25,908.40,912.870136945759793370,297344,18971,271436458.00,93210,31.35,42.85,10.90
28-November-2016,877.70,898.35,858.90,878.70,882.073201606160875145,169846,8812,149816605.00,29105,17.14,39.45,1.00
25-November-2016,830.00,883.80,823.60,877.70,854.309234759168341305,205517,7873,175575071.00,38616,18.79,60.20,47.70
24-November-2016,847.90,850.20,815.10,821.45,833.362543639573626431,150666,5763,125559401.00,34676,23.02,35.10,-26.45
23-November-2016,866.00,872.10,846.00,848.45,852.801506709686319290,130483,5761,111276099.00,28649,21.96,26.10,-17.55
22-November-2016,837.70,861.00,830.00,856.70,847.631660084390867986,125843,5625,106668511.00,20991,16.68,31.00,19.00
21-November-2016,885.05,889.95,816.75,832.75,836.728077945084145261,173866,6990,145478564.00,35246,20.27,73.20,-52.30
18-November-2016,874.30,901.55,865.05,878.95,881.698435026104706698,152846,7374,134764079.00,31312,20.49,36.50,4.65
17-November-2016,901.00,909.00,860.00,870.00,874.931630226210102429,148004,11536,129493381.00,28620,19.34,49.00,-31.00
16-November-2016,831.00,942.00,805.10,897.05,890.514772745820993240,551387,25615,491018269.00,85511,15.51,136.90,66.05
15-November-2016,863.20,866.25,762.90,814.00,796.393216006292399960,305130,15798,243003462.00,88979,29.16,103.35,-49.20
11-November-2016,925.00,925.00,850.50,857.85,872.724955464068666308,234642,9965,204777929.00,106010,45.18,74.50,-67.15
10-November-2016,958.00,978.95,925.10,929.60,952.411937424406391240,125672,7698,119691513.00,30084,23.94,53.85,-28.40
9-November-2016,940.00,940.00,836.30,928.35,897.346500041647578193,384176,16898,344738989.00,150832,39.26,103.70,-11.65
8-November-2016,993.50,1001.80,973.60,983.85,983.766872749173416585,81359,6904,80038289.00,24156,29.69,28.20,-9.65
7-November-2016,1010.00,1029.00,989.00,993.50,1013.217536569148936170,120320,5983,121910334.00,53380,44.37,40.00,-16.50
4-November-2016,1033.25,1033.25,970.55,994.15,993.408753378434168010,181667,11510,180469588.00,71363,39.28,62.70,-39.10
3-November-2016,1024.90,1047.00,1016.55,1030.00,1036.130314142695798881,71719,5367,74310230.00,25912,36.13,30.45,5.10
2-November-2016,1050.00,1050.00,1018.00,1021.75,1029.644632414369256474,105336,6999,108458647.00,38978,37.00,32.00,-28.25
1-November-2016,1090.05,1090.05,1058.05,1061.75,1073.230549244955231858,37415,2602,40154921.00,14096,37.67,32.00,-28.30
