Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,161.80,165.00,161.30,164.25,163.053120997580759925,899456,5684,146659108.00,91739,10.20,3.70,2.45
29-November-2016,163.90,165.50,160.75,161.80,162.972229113527276940,673151,4556,109704919.00,123893,18.40,4.75,-2.10
28-November-2016,162.50,165.00,160.90,162.95,163.179785306923956154,1340332,8825,218715088.00,237174,17.70,4.10,0.45
25-November-2016,168.35,171.30,165.90,167.85,168.531063395733118419,1148989,7556,193640338.00,175870,15.31,5.40,-0.50
24-November-2016,160.70,167.95,158.75,167.25,164.994095235601408764,1374822,10098,226837512.00,211816,15.41,9.20,6.55
23-November-2016,164.60,165.00,160.70,162.40,163.211692428730099962,691456,4550,112853704.00,133050,19.24,4.30,-2.20
22-November-2016,163.50,165.35,159.25,163.20,162.494367244515602405,1238559,9093,201258861.00,147238,11.89,6.10,-0.30
21-November-2016,179.05,179.25,160.00,161.45,166.043068779776931746,2089495,16889,346946162.00,354529,16.97,19.25,-17.60
18-November-2016,176.40,177.90,172.55,176.70,175.822925493927782798,1065591,7489,187355327.00,164470,15.43,5.35,0.30
17-November-2016,174.00,179.30,172.90,174.70,176.379711435792311639,4088934,16917,721204999.00,2346740,57.39,6.40,0.70
16-November-2016,176.95,178.00,168.50,173.25,173.204875377552461280,1742142,13857,301747488.00,297475,17.08,9.50,-3.70
15-November-2016,166.40,177.05,165.60,174.35,172.061250404081208336,4213262,29992,724939128.00,965226,22.91,11.45,7.95
11-November-2016,165.00,170.00,158.80,160.70,164.736698400035425849,2913127,18673,479898924.00,538174,18.47,11.20,-4.30
10-November-2016,155.00,166.15,155.00,164.80,162.777477745838752344,2531212,18612,412024305.00,538769,21.29,11.15,9.80
9-November-2016,136.00,152.80,136.00,151.15,145.108600104108753800,1581039,15116,229422356.00,262596,16.61,16.80,15.15
8-November-2016,148.60,149.70,146.10,149.00,147.734260833329387196,422354,2876,62396156.00,100090,23.70,3.60,0.40
7-November-2016,147.50,149.10,144.60,148.05,147.364154959874399140,536939,4611,79125562.00,85354,15.90,4.50,0.55
4-November-2016,147.50,148.20,141.50,142.45,144.481417998992752942,1757265,8260,253892139.00,564319,32.11,6.70,-5.05
3-November-2016,149.00,150.95,146.25,146.65,148.134691980881571959,677880,5246,100417545.00,152201,22.45,4.70,-2.35
2-November-2016,153.00,153.00,149.45,149.90,150.878614599678722932,537231,4967,81056669.00,187984,34.99,3.55,-3.10
1-November-2016,155.10,157.20,154.30,154.95,155.292671094365888963,379279,3038,58899249.00,94857,25.01,2.90,-0.15
