Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1415.00,1446.50,1407.05,1437.90,1432.739118747580749215,93004,4548,133250469.00,37866,40.71,39.45,22.90
29-November-2016,1400.00,1426.75,1387.55,1403.30,1409.456086834194666153,67531,4447,95181979.00,17653,26.14,39.20,3.30
28-November-2016,1305.00,1396.90,1293.45,1386.70,1373.523433614119534697,62325,3738,85604848.00,15370,24.66,103.45,81.70
25-November-2016,1300.00,1319.35,1299.00,1304.05,1307.780976026068740786,12889,867,16855989.00,7387,57.31,20.35,4.05
24-November-2016,1290.10,1311.35,1283.95,1300.95,1296.072158111155325640,7539,734,9771088.00,1399,18.56,27.40,10.85
23-November-2016,1295.00,1313.75,1285.65,1297.35,1296.084426906488024226,10897,1375,14123432.00,2613,23.98,28.10,2.35
22-November-2016,1289.75,1307.95,1276.90,1296.65,1290.362501677627164139,14902,1585,19228982.00,4795,32.18,31.05,6.90
21-November-2016,1313.65,1313.65,1270.55,1276.80,1288.145384112760197890,21426,1982,27599803.00,6403,29.88,43.10,-36.85
18-November-2016,1310.00,1318.70,1301.75,1310.50,1311.680620155038759689,9675,934,12690510.00,2967,30.67,16.95,0.50
17-November-2016,1305.10,1324.85,1285.00,1311.75,1299.515930360066695708,66571,3822,86510075.00,42416,63.72,39.85,6.65
16-November-2016,1300.00,1324.50,1283.50,1307.40,1309.178578969594594594,18944,1973,24801079.00,5410,28.56,41.00,7.40
15-November-2016,1305.05,1308.95,1266.25,1288.70,1287.702493672072747726,21334,1661,27471845.00,5514,25.85,42.70,-16.35
11-November-2016,1350.00,1359.50,1299.50,1304.75,1322.880409156589854741,26298,1552,34789109.00,5654,21.50,60.00,-45.25
10-November-2016,1329.95,1382.75,1313.85,1364.95,1346.767179863147605083,40920,3156,55109713.00,10184,24.89,68.90,35.00
9-November-2016,1282.00,1312.95,1204.65,1305.40,1269.263734606685096757,39790,3614,50504004.00,8453,21.24,108.30,23.40
8-November-2016,1305.00,1327.50,1305.00,1316.00,1317.528353856124432922,12344,1322,16263570.00,3522,28.53,22.50,11.00
7-November-2016,1309.00,1323.00,1300.20,1305.55,1311.116421895861148197,11235,1686,14730393.00,3393,30.20,22.80,-3.45
4-November-2016,1314.90,1316.80,1287.55,1299.45,1300.134572999265320598,39473,2744,51320212.00,13329,33.77,29.25,-15.45
3-November-2016,1300.00,1324.45,1300.00,1305.50,1311.407072442796418558,11057,1104,14500228.00,4561,41.25,24.45,5.50
2-November-2016,1320.00,1320.00,1300.00,1302.80,1305.446499489390672869,8813,710,11504900.00,3478,39.46,20.00,-17.20
1-November-2016,1330.00,1341.00,1321.00,1328.85,1330.819499421472504719,16421,1687,21853387.00,7246,44.13,20.00,-1.15
