Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,894.00,911.60,884.15,904.60,895.573993597078827931,311108,8986,278620234.00,11531,3.71,27.45,10.60
29-November-2016,905.10,919.00,897.50,901.65,907.848988191484149149,40818,1532,37056580.00,7135,17.48,21.50,-3.45
28-November-2016,908.00,924.00,904.70,907.80,913.834153003025786124,112037,2381,102383237.00,58572,52.28,19.30,-0.20
25-November-2016,914.00,931.50,904.35,907.90,917.751912777352716143,109788,4111,100758147.00,36371,33.13,27.15,-6.10
24-November-2016,890.00,916.30,889.00,910.70,906.906438819239266416,112707,4517,102214704.00,25428,22.56,27.30,20.70
23-November-2016,879.00,905.00,870.50,897.90,887.660865378000963059,72685,2554,64519630.00,20134,27.70,34.50,18.90
22-November-2016,860.00,881.00,846.25,876.30,862.790565571746110150,56686,2602,48908146.00,4949,8.73,34.75,16.30
21-November-2016,907.00,912.65,855.25,858.00,876.068447818924145834,69805,2882,61153958.00,12691,18.18,57.40,-49.00
18-November-2016,900.50,923.00,899.95,907.40,911.598533659186847367,81018,3619,73855890.00,9971,12.31,23.05,6.90
17-November-2016,906.00,915.95,892.60,899.20,904.993735465806084191,42142,2074,38138246.00,7100,16.85,23.35,-6.80
16-November-2016,900.00,923.20,894.40,903.65,909.690884624168986611,162001,6610,147370833.00,42292,26.11,28.80,3.65
15-November-2016,862.55,902.50,844.10,893.60,878.983302824914658882,121278,4886,106601337.00,27758,22.89,58.40,31.05
11-November-2016,860.15,896.10,857.40,862.95,877.620345076502809585,70651,3300,62004755.00,12186,17.25,38.70,2.80
10-November-2016,888.00,904.00,875.50,882.05,892.605194212424117942,109545,5387,97780436.00,26318,24.02,28.50,-5.95
9-November-2016,796.00,891.95,765.95,877.70,840.080842606925041383,204793,9966,172042676.00,49201,24.02,126.00,81.70
8-November-2016,869.95,877.80,842.20,850.25,855.829333865067796144,290872,11521,248936790.00,23744,8.16,35.60,-19.70
7-November-2016,859.00,873.00,841.55,858.25,860.999849937161186246,53311,2297,45900763.00,11848,22.22,31.45,-0.75
4-November-2016,849.90,849.90,820.10,833.00,836.231293067411033348,74157,2925,62012404.00,14336,19.33,29.80,-16.90
3-November-2016,852.05,868.10,848.75,851.25,859.327626459143968871,33410,1797,28710136.00,6946,20.79,19.35,-0.80
2-November-2016,866.10,869.95,850.10,852.15,856.708377095324118808,47606,2381,40784459.00,13275,27.89,19.85,-13.95
1-November-2016,893.00,893.00,862.55,865.50,873.375234728819175963,36212,2043,31626664.00,12415,34.28,30.45,-27.50
