Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,130.00,131.45,129.15,130.35,130.421204883869418481,537197,3313,70061880.00,93933,17.49,2.30,0.35
29-November-2016,128.00,130.40,127.90,129.45,129.416686865987842235,523945,3505,67807226.00,101524,19.38,2.50,1.45
28-November-2016,127.00,129.00,126.45,127.65,128.115055610814721041,497655,3120,63757098.00,82089,16.50,2.55,0.65
25-November-2016,125.50,127.50,124.80,126.85,126.604199801765668579,694128,3977,87879520.00,145546,20.97,2.70,1.35
24-November-2016,124.85,125.70,123.50,124.40,124.399149077246104541,452450,3049,56284395.00,100939,22.31,2.20,-0.45
23-November-2016,125.90,126.35,122.60,125.05,123.733213552178875297,2531283,6762,313203780.00,1549947,61.23,3.75,-0.85
22-November-2016,130.00,130.40,123.70,124.50,125.151057342212435099,811043,6229,101502889.00,197346,24.33,6.70,-5.50
21-November-2016,135.05,135.25,126.60,128.70,129.847199230028873917,883150,4922,114674554.00,350356,39.67,8.65,-6.35
18-November-2016,134.65,135.65,132.85,134.20,134.266079081426376647,432845,3404,58116401.00,103806,23.98,2.80,-0.45
17-November-2016,134.00,135.60,131.80,133.60,133.431273691979111921,715432,4992,95461003.00,138310,19.33,3.80,-0.40
16-November-2016,136.90,136.90,131.00,131.70,133.620663093807330379,581607,3910,77714713.00,148783,25.58,5.90,-5.20
15-November-2016,136.70,138.00,132.20,133.85,134.157176057548629385,604984,5186,81162945.00,146980,24.29,5.80,-2.85
11-November-2016,140.65,142.80,134.30,136.45,139.252521771776804928,745805,6152,103855227.00,210361,28.21,8.50,-4.20
10-November-2016,142.60,143.80,139.40,140.65,141.517729113407213526,656378,4700,92889124.00,153949,23.45,4.40,-1.95
9-November-2016,130.50,140.40,129.00,138.90,135.965866220446386840,1641043,11328,223125833.00,264712,16.13,11.40,8.40
8-November-2016,141.85,146.85,140.75,143.15,143.552764798598809019,2498446,17104,358658831.00,352236,14.10,6.10,1.30
7-November-2016,135.00,140.40,135.00,139.15,138.906728014723533648,624850,3690,86795869.00,116761,18.69,5.40,4.15
4-November-2016,138.00,139.00,134.00,134.90,135.944162000548072950,488986,3489,66474792.00,115434,23.61,5.00,-3.10
3-November-2016,137.50,140.05,137.20,137.75,138.497553666442419423,490530,3366,67937205.00,89654,18.28,2.85,0.25
2-November-2016,140.00,140.45,136.90,137.30,138.437463201799780605,484059,3320,67011900.00,165728,34.24,3.55,-2.70
1-November-2016,140.00,143.45,138.70,141.55,141.819890275879656572,611716,4095,86753496.00,148450,24.27,4.75,1.55
