Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,932.10,936.10,913.55,916.60,924.667865741665952931,105081,3316,97165024.00,28695,27.31,22.55,-15.50
29-November-2016,881.00,927.00,881.00,918.50,912.036710765239948119,96375,4191,87897538.00,11351,11.78,46.00,37.50
28-November-2016,880.00,890.00,876.00,881.15,883.032344906765905221,25259,1202,22304514.00,5584,22.11,14.00,1.15
25-November-2016,860.70,880.50,858.00,876.35,873.871870277335293877,73449,3126,64185015.00,18501,25.19,22.50,15.65
24-November-2016,862.00,862.00,849.10,856.80,856.127933732167510354,30422,1917,26045124.00,5962,19.60,12.90,-5.20
23-November-2016,842.00,865.00,842.00,860.95,855.245332732800360319,44405,2236,37977169.00,5847,13.17,23.00,18.95
22-November-2016,856.80,862.80,837.20,848.20,846.784651480502509577,33671,2134,28512086.00,9242,27.45,25.60,-8.60
21-November-2016,870.50,876.80,840.00,850.90,853.940044821594943721,39713,2138,33912521.00,10844,27.31,36.80,-19.60
18-November-2016,884.05,886.00,868.15,871.55,873.762034498316732030,57626,3156,50351411.00,11882,20.62,17.85,-12.50
17-November-2016,878.90,889.70,866.85,881.70,877.365065578042213150,46052,3082,40404416.00,8330,18.09,22.85,2.80
16-November-2016,870.55,878.25,860.00,868.70,870.006557020721634545,27604,1499,24015661.00,4330,15.69,18.25,-1.85
15-November-2016,883.00,889.05,855.80,859.25,867.795122482308111050,45925,2249,39853491.00,9988,21.75,33.25,-23.75
11-November-2016,895.05,906.55,876.25,880.20,891.310278723129281006,46426,1986,41379971.00,7512,16.18,30.30,-14.85
10-November-2016,900.20,918.40,899.15,905.20,907.384465054653858893,60380,2728,54787874.00,11582,19.18,19.25,5.00
9-November-2016,838.75,904.50,803.50,885.65,870.206319746688329400,168646,8379,146756815.00,20990,12.45,101.00,46.90
8-November-2016,907.75,907.75,881.40,891.70,891.266258178794780031,55326,2322,49310197.00,6508,11.76,26.35,-16.05
7-November-2016,880.00,906.00,880.00,898.00,897.757642371367726866,72785,3508,65343290.00,16775,23.05,26.00,18.00
4-November-2016,922.00,922.80,872.00,877.25,889.793509036027111981,128209,5304,114079536.00,23008,17.95,50.80,-44.75
3-November-2016,918.00,918.00,900.00,904.40,909.136364656507395022,44557,2342,40508389.00,11585,26.00,18.00,-13.60
2-November-2016,918.00,924.20,905.55,909.55,914.009757317988491368,39970,1895,36532970.00,10755,26.91,18.65,-8.45
1-November-2016,933.00,946.85,920.95,922.70,928.695064704389748794,63056,2927,58559796.00,19666,31.19,25.90,-10.30
