Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,20400.00,20640.00,20234.10,20517.85,20414.542258282623394185,1479,705,30193108.00,417,28.19,405.90,117.85
29-November-2016,19500.00,20337.00,19345.80,20188.75,19851.813703284258210645,1766,939,35058303.00,680,38.51,991.20,688.75
28-November-2016,18924.40,19478.80,18924.40,19411.60,19320.942765273311897106,1555,589,30044066.00,682,43.86,554.40,487.20
25-November-2016,18869.05,19099.25,18733.50,18863.10,18900.308258381030253475,1223,589,23115077.00,337,27.56,365.75,-5.95
24-November-2016,18975.15,19300.05,18684.60,18934.55,18881.246367239101717305,1514,915,28586207.00,349,23.05,615.45,-40.60
23-November-2016,18543.00,19034.90,18500.00,18968.70,18789.307101727447216890,2084,901,39156916.00,682,32.73,534.90,425.70
22-November-2016,18620.00,18710.00,18005.00,18543.35,18269.337931034482758620,1885,1031,34437702.00,551,29.23,705.00,-76.65
21-November-2016,19251.85,19472.90,18370.10,18489.50,18768.917653694303440496,1773,872,33277291.00,563,31.75,1102.80,-762.35
18-November-2016,19284.80,19350.00,18924.45,19221.30,19185.409185803757828810,1437,640,27569433.00,525,36.53,425.55,-63.50
17-November-2016,19600.00,19600.00,19020.00,19064.85,19155.199877375843041079,1631,940,31242131.00,700,42.92,580.00,-535.15
16-November-2016,20090.00,20090.00,19103.60,19215.15,19558.978148361127084531,1739,769,34013063.00,638,36.69,986.40,-874.85
15-November-2016,20094.50,20306.00,19336.00,19501.95,19644.971743625086147484,1451,690,28504854.00,445,30.67,970.00,-592.55
11-November-2016,20861.80,20861.80,19991.00,20094.50,20244.032228360957642725,2172,1216,43970038.00,672,30.94,870.80,-767.30
10-November-2016,22310.00,22310.00,20692.85,20861.80,21457.253717890941865705,2219,1304,47613646.00,578,26.05,1617.15,-1448.20
9-November-2016,21000.00,21444.00,19780.00,21278.45,20973.151398601398601398,2860,1640,59983213.00,375,13.11,1664.00,278.45
8-November-2016,21593.60,21630.50,21400.00,21548.60,21518.051593323216995447,659,358,14180396.00,125,18.97,230.50,-45.00
7-November-2016,21947.90,22047.05,21300.00,21422.40,21627.210355987055016181,927,643,20048424.00,258,27.83,747.05,-525.50
4-November-2016,21551.05,21731.25,20919.75,21509.55,21320.923120728929384965,1756,904,37439541.00,439,25.00,811.50,-41.50
3-November-2016,21678.95,21900.00,21400.00,21527.10,21690.731501057082452431,1419,674,30779148.00,279,19.66,500.00,-151.85
2-November-2016,22140.45,22140.45,21672.00,21709.20,21819.863074204946996466,1132,600,24700085.00,444,39.22,468.45,-431.25
1-November-2016,21893.00,22368.25,21834.95,22303.75,22193.192553191489361702,940,549,20861601.00,231,24.57,533.30,410.75
