Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,645.00,650.55,636.25,644.05,644.894819898537370656,94419,3135,60890324.00,18849,19.96,14.30,-0.95
29-November-2016,663.00,663.00,642.00,643.20,646.794393846444245198,63573,2184,41118660.00,18640,29.32,21.00,-19.80
28-November-2016,639.65,663.85,639.65,651.20,656.598953053287375813,108506,3565,71244926.00,23263,21.44,24.20,11.55
25-November-2016,640.00,647.25,636.00,639.65,642.536724973836526345,46821,2297,30084212.00,13171,28.13,11.25,-0.35
24-November-2016,629.00,643.75,627.05,639.05,634.435844896900531707,77110,3129,48921348.00,15217,19.73,16.70,10.05
23-November-2016,649.90,649.90,624.65,634.15,630.696895305403348170,198377,3593,125115758.00,138406,69.77,25.25,-15.75
22-November-2016,633.80,644.30,633.80,642.05,640.174434836962183560,47995,2493,30725172.00,12826,26.72,10.50,8.25
21-November-2016,647.90,647.90,630.85,633.60,639.775144793682800644,135883,6471,86934566.00,62975,46.35,17.05,-14.30
18-November-2016,635.85,646.45,634.35,642.60,641.667753955938393978,94731,4390,60785828.00,23862,25.19,12.10,6.75
17-November-2016,634.65,643.50,621.55,635.60,631.914573924631672466,540280,11314,341410806.00,402489,74.50,21.95,0.95
16-November-2016,647.00,661.00,629.10,634.65,645.996879681670276820,104797,4488,67698535.00,23442,22.37,31.90,-12.35
15-November-2016,646.30,652.15,621.40,644.40,639.241396698088023302,168569,5379,107756283.00,35813,21.25,30.75,-1.90
11-November-2016,656.90,660.10,645.05,649.45,650.339179701615817459,77484,2747,50390881.00,25693,33.16,15.05,-7.45
10-November-2016,655.00,672.85,655.00,664.80,666.176214358849764850,115246,3514,76774144.00,59523,51.65,17.85,9.80
9-November-2016,600.00,668.00,600.00,660.75,647.632259394814165678,96995,6289,62817091.00,18148,18.71,68.00,60.75
8-November-2016,660.00,667.75,654.50,660.70,661.604315210932857991,53856,2714,35631362.00,19574,36.35,13.25,0.70
7-November-2016,646.25,665.55,646.25,657.00,659.211240624695607000,92397,2538,60909141.00,26156,28.31,19.30,10.75
4-November-2016,640.00,649.00,632.10,643.15,640.945459503681483501,128345,5929,82262145.00,38124,29.70,16.90,3.15
3-November-2016,663.50,664.70,641.00,645.05,653.249591728705132392,88789,4102,58001378.00,16438,18.51,23.70,-18.45
2-November-2016,676.00,676.00,655.00,659.95,661.534382680541756000,57369,2061,37951566.00,8963,15.62,21.00,-16.05
1-November-2016,671.00,679.90,668.45,676.05,675.301349427002102122,58988,2623,39834676.00,18030,30.57,11.45,5.05
