Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,3017.55,3074.95,2954.05,3037.60,3012.982768865121806298,16830,2224,50708500.00,8289,49.25,120.90,20.05
29-November-2016,2970.15,3038.90,2970.15,3005.15,3007.179897285399853264,6815,1099,20493931.00,2364,34.69,68.75,35.00
28-November-2016,2958.00,2990.00,2926.50,2957.55,2965.753275109170305676,5038,1246,14941465.00,1400,27.79,63.50,-0.45
25-November-2016,2978.00,2978.00,2925.00,2958.10,2954.787984416649579659,4877,1191,14410501.00,1282,26.29,53.00,-19.90
24-November-2016,2950.05,2982.50,2917.05,2938.80,2936.320076449591050900,35579,1267,104471332.00,31261,87.86,65.45,-11.25
23-November-2016,2932.00,2973.80,2896.00,2963.10,2918.786660849648252167,18337,1510,53521791.00,14503,79.09,77.80,31.10
22-November-2016,2901.00,2928.00,2851.70,2904.45,2895.221481347990628942,11098,2189,32131168.00,6405,57.71,76.30,3.45
21-November-2016,2895.00,2922.75,2871.90,2894.70,2894.370838881491344873,3004,724,8694690.00,1026,34.15,50.85,-0.30
18-November-2016,2935.00,2935.00,2877.35,2902.00,2896.306610860699720970,9318,1489,26987785.00,2320,24.90,57.65,-33.00
17-November-2016,3001.65,3010.00,2922.25,2934.75,2954.893728483759916180,6681,1198,19741645.00,1722,25.77,87.75,-66.90
16-November-2016,2941.05,3055.00,2924.60,2990.40,2990.111497878820841944,18386,2781,54976190.00,5844,31.79,130.40,49.35
15-November-2016,3078.80,3078.80,2781.00,2920.05,2892.759611879675756365,57611,5031,166654774.00,41299,71.69,297.80,-158.75
11-November-2016,3200.80,3200.80,3030.60,3074.35,3107.121789154477345701,44848,3296,139348198.00,35477,79.10,170.20,-126.45
10-November-2016,3179.00,3233.85,3167.55,3200.80,3202.490500210172341319,23790,2027,76187249.00,15384,64.67,66.30,21.80
9-November-2016,3178.95,3178.95,2930.20,3125.95,3107.874205156011238724,20287,4060,63049444.00,5174,25.50,248.75,-53.00
8-November-2016,3295.00,3296.65,3214.00,3232.25,3244.544178880746169220,24016,3631,77920973.00,5739,23.90,82.65,-62.75
7-November-2016,3310.00,3348.00,3290.05,3303.20,3307.043482057102942460,22906,3274,75751138.00,14318,62.51,57.95,-6.80
4-November-2016,3310.00,3379.35,3223.55,3300.05,3302.988450938361258147,45718,2679,151006026.00,35791,78.29,155.80,-9.95
3-November-2016,3290.60,3323.55,3264.45,3303.85,3303.316014742598977529,8411,1152,27784191.00,3932,46.75,59.10,13.25
2-November-2016,3252.00,3315.00,3252.00,3302.50,3295.328203950390445567,8708,1339,28695718.00,2793,32.07,63.00,50.50
1-November-2016,3326.30,3339.45,3270.00,3326.45,3319.643541797611565053,25456,1154,84504846.00,21730,85.36,69.45,0.15
