Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,400.00,405.95,393.50,401.75,401.228983826479438314,63808,2484,25601619.00,9034,14.16,12.45,1.75
29-November-2016,412.80,414.60,396.40,398.00,404.288366505583312856,36627,1500,14807870.00,9080,24.79,18.20,-14.80
28-November-2016,405.10,413.30,403.70,411.00,409.743991684873682200,47143,1677,19316561.00,11304,23.98,9.60,5.90
25-November-2016,398.15,410.45,396.05,405.10,404.396788620866632451,68195,3172,27577839.00,20835,30.55,14.40,6.95
24-November-2016,391.00,402.80,383.10,396.45,392.131217501368363437,116928,4330,45851119.00,34077,29.14,19.70,5.45
23-November-2016,372.00,394.00,370.55,392.05,384.962239541399632862,62102,2628,23906925.00,17770,28.61,23.45,20.05
22-November-2016,366.00,373.40,365.65,371.00,368.982673170731707317,25625,1358,9455181.00,4308,16.81,7.75,5.00
21-November-2016,373.40,374.50,363.00,365.30,367.490198615514006598,30914,1228,11360592.00,6235,20.17,11.50,-8.10
18-November-2016,370.00,377.30,360.55,373.40,370.213390417711179336,71006,3748,26287372.00,13625,19.19,16.75,3.40
17-November-2016,376.35,381.00,365.95,369.55,373.101158449544306577,36428,1720,13591329.00,5051,13.87,15.05,-6.80
16-November-2016,359.00,386.40,347.70,374.45,368.325000921726947609,162738,5547,59940474.00,21113,12.97,38.70,15.45
15-November-2016,381.50,381.50,353.60,358.15,368.990761412862379206,120040,3178,44293651.00,69699,58.06,27.90,-23.35
11-November-2016,398.00,404.50,378.40,380.95,387.236658444712135987,52299,2257,20252090.00,19492,37.27,26.10,-17.05
10-November-2016,387.95,416.00,387.50,401.15,404.731036181461509364,113677,4955,46008610.00,26398,23.22,28.50,13.20
9-November-2016,350.00,385.05,338.00,383.25,368.869653893695920889,80900,3277,29841555.00,15445,19.09,47.05,33.25
8-November-2016,384.40,386.80,373.25,375.10,377.414326419240335160,82826,3080,31259719.00,26017,31.41,13.55,-9.30
7-November-2016,392.00,401.65,381.05,384.80,388.728355112022330360,40483,1963,15736890.00,12450,30.75,20.60,-7.20
4-November-2016,404.00,404.00,377.15,390.40,387.140748661689670422,151497,5227,58650662.00,19636,12.96,26.85,-13.60
3-November-2016,413.00,413.00,394.85,396.50,403.981890663360801186,41139,2224,16619411.00,7210,17.53,18.15,-16.50
2-November-2016,424.00,424.00,403.75,405.40,411.058630805798839375,46699,2068,19196027.00,12076,25.86,20.25,-18.60
1-November-2016,418.00,429.45,417.00,423.75,423.060935110972605007,102683,3991,43441166.00,29428,28.66,12.45,5.75
