Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,569.00,572.20,564.95,566.55,568.287488335367166750,41793,1381,23750439.00,10862,25.99,7.25,-2.45
29-November-2016,573.00,573.00,564.95,569.10,569.084100681810906840,93721,2022,53335131.00,21006,22.41,8.05,-3.90
28-November-2016,570.00,577.00,567.80,570.55,573.049049725077695433,167320,3421,95882567.00,23915,14.29,9.20,0.55
25-November-2016,550.00,568.65,549.10,563.35,561.381735718946613712,124133,3175,69685999.00,23553,18.97,19.55,13.35
24-November-2016,552.00,557.90,546.00,553.65,551.648637866180326000,70184,2215,38716908.00,13347,19.02,11.90,1.65
23-November-2016,555.50,559.00,547.85,552.20,552.642455743879472693,132750,3014,73363286.00,15451,11.64,11.15,-3.30
22-November-2016,548.25,558.95,544.00,549.75,551.982044937809281797,89724,2431,49526037.00,20432,22.77,14.95,1.50
21-November-2016,550.00,554.00,542.00,544.95,546.065454340091489241,53121,1225,29007543.00,12387,23.32,12.00,-5.05
18-November-2016,548.00,555.90,540.00,549.75,550.193985918985649440,92749,2454,51029942.00,19673,21.21,15.90,1.75
17-November-2016,540.00,549.20,536.05,544.70,545.195516558375446585,54021,1765,29452007.00,10698,19.80,13.15,4.70
16-November-2016,561.10,562.00,535.00,538.65,542.668160915098349885,129385,2168,70213120.00,52685,40.72,27.00,-22.45
15-November-2016,549.00,560.05,529.00,552.75,544.670916968300976198,109404,2590,59589177.00,22693,20.74,31.05,3.75
11-November-2016,562.05,564.25,546.00,549.70,553.903257713538176829,94023,3913,52079646.00,21617,22.99,18.25,-12.35
10-November-2016,538.00,572.00,538.00,564.25,558.741515376065209336,323880,8246,180965202.00,78074,24.11,34.00,26.25
9-November-2016,512.00,533.00,487.35,528.10,520.760381107055289693,253682,8806,132107535.00,58942,23.23,45.65,16.10
8-November-2016,545.10,550.00,531.40,536.25,537.776181278560324115,127362,2579,68492250.00,50770,39.86,18.60,-8.85
7-November-2016,549.00,555.50,544.00,545.75,548.124588140435401507,100459,1940,55064048.00,51190,50.96,11.50,-3.25
4-November-2016,565.75,565.75,538.50,544.50,552.483668509880242603,194226,3841,107306693.00,67251,34.63,27.25,-21.25
3-November-2016,560.10,563.95,557.00,559.05,560.376706848730531256,74992,1914,42023770.00,12023,16.03,6.95,-1.05
2-November-2016,570.00,570.00,556.00,558.80,561.901261002317805488,413322,3484,232246153.00,302958,73.30,14.00,-11.20
1-November-2016,578.00,579.20,570.25,571.05,572.783682951827810044,73175,1810,41913446.00,22889,31.28,8.95,-6.95
