Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,310.05,310.05,305.10,308.20,307.392220318237454100,204250,3550,62784861.00,49665,24.32,4.95,-1.85
29-November-2016,306.00,313.65,306.00,308.50,310.096775228450280984,187021,2639,57994609.00,71427,38.19,7.65,2.50
28-November-2016,306.40,306.40,302.40,304.75,304.132022895014309383,132780,2204,40382650.00,43922,33.08,4.00,-1.65
25-November-2016,301.25,305.35,301.25,304.10,303.374752535474523596,180834,2724,54860470.00,55387,30.63,4.10,2.85
24-November-2016,304.70,304.70,299.95,301.25,302.304754529492497488,130423,2364,39427493.00,51920,39.81,4.75,-3.45
23-November-2016,304.95,306.25,302.30,303.80,304.654631273950836526,106990,1623,32594999.00,27721,25.91,3.95,-1.15
22-November-2016,302.10,305.20,299.20,303.50,302.917097495371502427,114508,2479,34686431.00,31190,27.24,6.00,1.40
21-November-2016,311.00,311.00,300.40,301.15,304.175731270345592081,128099,3302,38964607.00,50233,39.21,10.60,-9.85
18-November-2016,307.00,309.25,304.20,306.90,306.576991934923173190,115064,3921,35275975.00,40538,35.23,5.05,-0.10
17-November-2016,312.60,312.60,301.75,306.10,305.305217172416122813,917681,7897,280172797.00,727365,79.26,10.85,-6.50
16-November-2016,316.50,317.50,309.15,312.60,313.369068582020389249,172640,4090,54100036.00,84180,48.76,8.35,-3.90
15-November-2016,325.00,328.60,313.20,314.55,318.796410467187285929,197073,3766,62826165.00,47248,23.97,15.40,-10.45
11-November-2016,325.00,331.80,321.50,324.10,326.079650290814646815,273370,3163,89140394.00,50506,18.48,10.30,-0.90
10-November-2016,320.00,337.30,320.00,333.50,330.360670902022159850,442151,5935,146069301.00,219225,49.58,17.30,13.50
9-November-2016,308.70,320.00,289.20,317.90,308.430252929587949276,421817,5925,130101124.00,149273,35.39,30.80,9.20
8-November-2016,319.50,322.00,315.60,316.95,318.392820815302111985,166147,2755,52900012.00,35541,21.39,6.40,-2.55
7-November-2016,318.00,322.55,317.00,318.75,319.118833674462302452,149015,2427,47553493.00,49503,33.22,5.55,0.75
4-November-2016,326.55,327.05,312.60,315.50,315.774637608799434236,1462094,4516,461692203.00,1184938,81.04,14.45,-11.05
3-November-2016,327.00,331.00,325.20,326.75,328.379805470414185467,188249,3304,61817170.00,61581,32.71,5.80,-0.25
2-November-2016,326.80,328.70,323.20,327.70,325.390289904446345971,2632971,3826,856743197.00,2450766,93.08,5.50,0.90
1-November-2016,325.30,331.30,323.35,329.85,327.411319201377840406,395982,6968,129648989.00,197939,49.99,7.95,4.55
