Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1176.40,1177.00,1163.05,1172.55,1171.171258034894398530,4356,561,5101622.00,1302,29.89,13.95,-3.85
29-November-2016,1180.00,1188.00,1165.00,1168.95,1173.605508614067815209,9113,1078,10695067.00,2197,24.11,23.00,-11.05
28-November-2016,1163.00,1180.35,1158.50,1171.70,1170.347147823920453901,176602,773,206685647.00,172404,97.62,21.85,8.70
25-November-2016,1174.90,1184.00,1150.05,1160.25,1164.955046850907365674,16862,2190,19643472.00,4253,25.22,33.95,-14.65
24-November-2016,1133.45,1239.00,1133.45,1187.05,1156.684745716874230930,73953,2350,85540307.00,57267,77.44,105.55,53.60
23-November-2016,1166.45,1166.45,1121.60,1126.85,1140.192441266598569969,9790,1341,11162484.00,2864,29.25,44.85,-39.60
22-November-2016,1170.00,1170.00,1133.65,1160.45,1153.803244518729721757,50855,1239,58676664.00,42173,82.93,36.35,-9.55
21-November-2016,1225.00,1230.00,1135.50,1162.90,1190.081797028816896366,11174,1358,13297974.00,2660,23.81,94.50,-62.10
18-November-2016,1260.00,1260.00,1217.00,1220.60,1228.977558743289624218,11363,1437,13964872.00,3335,29.35,43.00,-39.40
17-November-2016,1278.10,1300.00,1247.85,1255.50,1260.919871221606152745,5591,896,7049803.00,970,17.35,52.15,-22.60
16-November-2016,1300.00,1332.95,1268.00,1287.30,1282.749511601424974665,95721,1863,122786066.00,83377,87.10,64.95,-12.70
15-November-2016,1340.00,1366.00,1290.55,1305.10,1338.862931102517559782,190065,1346,254470983.00,181633,95.56,75.45,-34.90
11-November-2016,1360.00,1369.00,1330.05,1347.85,1345.237107825459790840,5546,886,7460685.00,1021,18.41,38.95,-12.15
10-November-2016,1366.00,1380.00,1360.00,1363.25,1366.023764258555133079,4208,833,5748228.00,1255,29.82,20.00,-2.75
9-November-2016,1323.85,1373.90,1280.50,1353.70,1338.863494539781591263,5128,747,6865692.00,1349,26.31,93.40,29.85
8-November-2016,1370.60,1386.50,1352.50,1375.90,1372.660108024691358024,5184,654,7115870.00,1382,26.66,34.00,5.30
7-November-2016,1381.05,1433.25,1360.20,1372.00,1394.236062089218291148,178775,1956,249254552.00,166080,92.90,73.05,-9.05
4-November-2016,1368.00,1387.65,1362.80,1381.65,1374.508915388983532084,8805,1130,12102551.00,2305,26.18,24.85,13.65
3-November-2016,1370.00,1377.00,1352.00,1366.90,1368.844928751047778709,1193,284,1633032.00,470,39.40,25.00,-3.10
2-November-2016,1360.00,1378.70,1360.00,1363.00,1366.018600566019322728,102470,1198,139975926.00,98098,95.73,18.70,3.00
1-November-2016,1375.00,1389.00,1362.55,1367.30,1383.559993127577158565,64024,605,88581045.00,61215,95.61,26.45,-7.70
