Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,278.75,285.15,276.60,283.35,281.543744350247978304,40931,1833,11523867.00,14777,36.10,8.55,4.60
29-November-2016,278.30,279.60,276.00,277.20,278.188588381992518381,46514,908,12939664.00,28129,60.47,3.60,-1.10
28-November-2016,275.00,279.00,275.00,276.95,277.082290834885990595,22542,698,6245989.00,7470,33.14,4.00,1.95
25-November-2016,278.05,278.65,274.60,276.05,276.201035529369755400,22404,838,6188008.00,6555,29.26,4.05,-2.00
24-November-2016,280.00,281.60,275.35,277.10,279.108621593291404612,22896,1167,6390471.00,6206,27.11,6.25,-2.90
23-November-2016,276.50,283.85,275.60,280.60,279.635845904626911005,39508,1570,11047853.00,10294,26.06,8.25,4.10
22-November-2016,276.25,279.30,273.90,275.70,275.917046790500822948,21265,956,5867376.00,6854,32.23,5.40,-0.55
21-November-2016,279.00,280.30,274.00,275.75,275.972068336374191408,30145,1252,8319178.00,9362,31.06,6.30,-3.25
18-November-2016,277.95,279.50,274.50,277.65,277.154171592110993591,32146,1267,8909398.00,7591,23.61,5.00,-0.30
17-November-2016,276.90,280.00,274.50,276.60,277.683013072362311593,27998,1607,7774569.00,7555,26.98,5.50,-0.30
16-November-2016,271.90,279.65,271.90,275.25,276.099184860058142848,35086,1220,9687216.00,6332,18.05,7.75,3.35
15-November-2016,285.00,285.00,269.55,270.35,272.887157506213629801,67191,2266,18335561.00,26006,38.70,15.45,-14.65
11-November-2016,298.95,298.95,278.10,281.15,285.508909568446316170,88332,2654,25219573.00,24908,28.20,20.85,-17.80
10-November-2016,297.60,304.20,295.45,296.60,300.138710163111668757,99625,2175,29901319.00,32083,32.20,8.75,-1.00
9-November-2016,295.00,299.00,273.90,297.65,291.260632794205739802,128541,4902,37438933.00,24980,19.43,25.10,2.65
8-November-2016,300.00,300.00,296.30,297.50,297.726906633567783753,36255,842,10794089.00,12418,34.25,3.70,-2.50
7-November-2016,299.00,302.65,295.20,296.80,297.928796123108314912,94096,1789,28033908.00,36171,38.44,7.45,-2.20
4-November-2016,293.85,300.80,293.30,297.15,297.347816316354979388,142397,3578,42341437.00,36096,25.35,7.50,3.30
3-November-2016,294.20,298.50,289.40,291.90,295.389982837984361096,740589,2220,218762572.00,24632,3.33,9.10,-2.30
2-November-2016,295.00,297.80,288.55,294.30,293.599913679126738709,183038,3523,53739941.00,35805,19.56,9.25,-0.70
1-November-2016,292.20,294.00,289.60,290.05,290.998661055853098699,41824,1210,12170728.00,15854,37.91,4.40,-2.15
