Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1179.50,1190.00,1163.00,1172.75,1171.218512396694214876,9075,1088,10628808.00,2139,23.57,27.00,-6.75
29-November-2016,1158.75,1192.00,1158.65,1173.50,1178.602004138982681625,9181,1005,10820745.00,1947,21.21,33.35,14.75
28-November-2016,1160.95,1174.20,1151.20,1167.85,1163.154793906810035842,8928,736,10384646.00,1770,19.83,23.00,6.90
25-November-2016,1164.00,1169.00,1131.75,1157.15,1150.209936928819667910,15538,1404,17871962.00,2267,14.59,37.25,-6.85
24-November-2016,1170.00,1174.85,1140.70,1145.15,1150.115501728519425811,43679,2515,50235895.00,32267,73.87,34.15,-24.85
23-November-2016,1190.60,1193.00,1167.50,1176.95,1179.023784901758014477,12571,1890,14821508.00,2922,23.24,25.50,-13.65
22-November-2016,1180.10,1185.55,1147.60,1178.45,1173.104038004750593824,8420,2167,9877536.00,1958,23.25,37.95,-1.65
21-November-2016,1193.80,1193.80,1155.20,1167.00,1167.044580710394990051,306590,734,357804198.00,302136,98.55,38.60,-26.80
18-November-2016,1161.20,1188.20,1150.65,1182.15,1174.670298703738493330,5323,705,6252770.00,1339,25.15,37.55,20.95
17-November-2016,1160.35,1171.55,1121.50,1165.00,1152.315027081496410127,7939,1164,9148229.00,2532,31.89,50.05,4.65
16-November-2016,1162.20,1175.90,1112.80,1153.95,1136.240886763185108583,15472,1448,17579919.00,5260,34.00,63.10,-8.25
15-November-2016,1190.00,1201.05,1111.00,1161.70,1152.580201214882308276,42144,3575,48574340.00,22868,54.26,90.05,-28.30
11-November-2016,1247.00,1255.05,1212.00,1229.40,1231.943891182900170026,16468,846,20287652.00,10891,66.13,43.05,-17.60
10-November-2016,1319.00,1319.00,1245.55,1254.15,1262.611213235294117647,5440,596,6868605.00,1308,24.04,73.45,-64.85
9-November-2016,1231.00,1285.00,1132.80,1253.95,1222.074837856558151249,31762,3122,38815541.00,7588,23.89,152.20,22.95
8-November-2016,1265.20,1265.20,1237.10,1242.20,1248.218009897490279250,11316,1088,14124835.00,3473,30.69,28.10,-23.00
7-November-2016,1263.50,1280.75,1257.50,1265.75,1270.507730535615681943,10866,488,13805337.00,2747,25.28,23.25,2.25
4-November-2016,1272.50,1272.50,1214.50,1252.60,1243.646645865834633385,25640,1497,31887100.00,8101,31.60,58.00,-19.90
3-November-2016,1270.00,1275.00,1253.00,1260.20,1258.309804421226986048,15697,1528,19751689.00,5847,37.25,22.00,-9.80
2-November-2016,1287.00,1287.00,1256.00,1269.40,1268.107472324723247232,8672,1060,10997028.00,3795,43.76,31.00,-17.60
1-November-2016,1265.30,1297.25,1265.00,1286.00,1287.092101506474312681,59543,847,76637325.00,57286,96.21,32.25,20.70
