Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,115.05,116.15,113.35,115.05,114.588914075895604516,775091,3356,88816836.00,82245,10.61,2.80,0.00
29-November-2016,113.00,116.80,113.00,114.90,115.455771038233023396,1191640,5890,137581715.00,99604,8.36,3.80,1.90
28-November-2016,112.00,114.55,111.75,112.90,113.165222809741540140,1073629,4977,121497465.00,86454,8.05,2.80,0.90
25-November-2016,114.00,114.50,110.10,112.35,112.228328712177024012,1774087,7647,199102819.00,141710,7.99,4.40,-1.65
24-November-2016,114.30,115.70,112.10,113.15,113.624147525387983403,1395936,6465,158612038.00,161173,11.55,3.60,-1.15
23-November-2016,112.65,117.45,112.30,116.85,115.203093709993857940,1525547,8278,175747734.00,130178,8.53,5.15,4.20
22-November-2016,109.00,112.70,103.85,111.00,107.921677139675469296,3017280,13336,325629918.00,96465,3.20,8.85,2.00
21-November-2016,116.95,117.00,107.40,108.65,110.045999167060968084,2293085,9394,252344830.00,366089,15.96,9.60,-8.30
18-November-2016,112.90,117.20,110.50,116.40,114.314098487971476240,1797519,8729,205481764.00,145795,8.11,6.70,3.50
17-November-2016,108.90,113.35,107.35,112.20,110.479791615814501525,1564994,7723,172900211.00,227423,14.53,6.00,3.30
16-November-2016,116.10,118.60,108.00,108.60,111.588813217825277979,2393253,9773,267060262.00,615905,25.74,10.60,-7.50
15-November-2016,117.00,118.20,110.60,114.40,113.956843974717973820,1769162,8104,201608118.00,274868,15.54,7.60,-2.60
11-November-2016,120.70,121.50,113.00,116.70,117.474413636052293052,2131526,14196,250399767.00,321866,15.10,8.50,-4.00
10-November-2016,120.90,133.45,120.35,124.85,127.907520289685500377,2632372,18776,336700175.00,419174,15.92,13.10,3.95
9-November-2016,129.30,129.30,108.55,118.55,117.333590612168816847,4801535,37732,563381342.00,806783,16.80,20.75,-10.75
8-November-2016,143.95,144.50,141.45,143.65,142.783095792565109818,453887,3594,64807391.00,47427,10.45,3.05,-0.30
7-November-2016,140.60,145.00,140.60,143.75,142.851946767149327836,592341,4225,84617065.00,60531,10.22,4.40,3.15
4-November-2016,144.00,144.15,138.50,139.70,141.074185420721476855,1214093,6331,171277181.00,100704,8.29,5.65,-4.30
3-November-2016,145.00,146.80,142.60,143.20,144.742591168433626057,794491,4596,114996686.00,87453,11.01,4.20,-1.80
2-November-2016,148.00,148.00,144.15,145.10,145.768408994922809075,1316476,5939,191900612.00,162052,12.31,3.85,-2.90
1-November-2016,150.30,151.85,148.60,149.65,150.007881671916731440,1368872,6138,205341589.00,71015,5.19,3.25,-0.65
