Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,3206.00,3218.00,3182.00,3198.85,3198.228349758859299643,9538,1138,30504702.00,1801,18.88,36.00,-7.15
29-November-2016,3177.00,3205.00,3160.00,3190.90,3186.976374681966872630,19259,1738,61377978.00,6468,33.58,45.00,13.90
28-November-2016,3166.00,3189.95,3162.00,3175.85,3174.126471624955939372,14185,1562,45024984.00,4891,34.48,27.95,9.85
25-November-2016,3127.85,3193.50,3078.95,3169.15,3144.386505920652523879,27953,3255,87895036.00,3745,13.40,114.55,41.30
24-November-2016,3133.95,3149.00,3089.95,3107.45,3123.214688725255809505,10457,981,32659456.00,1614,15.43,59.05,-26.50
23-November-2016,3117.00,3146.00,3095.20,3127.75,3122.909763666746240152,12567,1213,39245607.00,2253,17.93,50.80,10.75
22-November-2016,3135.60,3141.00,3076.10,3120.70,3111.900935934616398629,15172,1389,47213761.00,5049,33.28,64.90,-14.90
21-November-2016,3207.00,3207.00,3114.95,3134.80,3149.312353001329379282,19558,1818,61594251.00,4546,23.24,92.05,-72.20
18-November-2016,3230.00,3257.00,3147.05,3212.00,3207.087017518615777545,27799,2869,89153812.00,6800,24.46,109.95,-18.00
17-November-2016,3205.00,3224.00,3160.00,3206.95,3204.067157019507515190,9381,1114,30057354.00,1291,13.76,64.00,1.95
16-November-2016,3335.00,3345.00,3198.25,3212.95,3242.006516639151968025,23018,2419,74624506.00,5871,25.51,146.75,-122.05
15-November-2016,3265.00,3333.00,3265.00,3308.70,3305.132423850405739150,25509,2701,84310623.00,7889,30.93,68.00,43.70
11-November-2016,3260.00,3295.00,3232.15,3260.65,3264.222602500523852762,14317,1545,46733875.00,1822,12.73,62.85,0.65
10-November-2016,3299.00,3329.90,3259.70,3274.05,3302.293521028241671767,22874,2876,75536662.00,3162,13.82,70.20,-24.95
9-November-2016,3030.00,3333.00,2960.40,3271.70,3185.574734284846644397,65860,7683,209801952.00,13977,21.22,372.60,241.70
8-November-2016,3110.05,3147.55,3100.00,3114.80,3122.754896500510535598,21546,2199,67282877.00,5692,26.42,47.55,4.75
7-November-2016,3092.00,3152.25,3083.10,3098.65,3117.249938180019782393,16176,2051,50424635.00,4522,27.95,69.15,6.65
4-November-2016,3238.00,3238.00,3072.00,3077.20,3093.373708637054905868,76276,4929,235950173.00,33496,43.91,166.00,-160.80
3-November-2016,3260.00,3290.00,3249.50,3262.00,3267.304866850321395775,16335,2123,53371425.00,4720,28.90,40.50,2.00
2-November-2016,3315.00,3338.00,3245.10,3258.40,3298.664315056260046436,11198,1473,36938443.00,2161,19.30,92.90,-56.60
1-November-2016,3312.00,3357.00,3300.00,3325.60,3331.719926075268817204,11904,1345,39660794.00,2417,20.30,57.00,13.60
