Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,22500.00,22500.00,21112.10,21675.40,21466.450277728005733739,5581,2259,119804259.00,1478,26.48,1387.90,-824.60
29-November-2016,20429.00,21870.00,20391.00,21343.40,21106.244719372359686179,9942,3485,209838285.00,2167,21.80,1479.00,914.40
28-November-2016,20250.00,20664.30,20008.25,20226.40,20301.570689097379488838,6182,1952,125504310.00,1518,24.56,656.05,-23.60
25-November-2016,20599.00,20655.60,19975.40,20144.50,20172.259429622815087396,6522,2126,131563476.00,1564,23.98,680.20,-454.50
24-November-2016,20849.00,20849.00,20172.25,20353.25,20400.802205882352941176,4080,1540,83235273.00,729,17.87,676.75,-495.75
23-November-2016,20845.55,21500.00,20653.70,20910.55,21100.485249955838191132,5661,2072,119449847.00,969,17.12,846.30,65.00
22-November-2016,20611.00,20777.00,20200.00,20656.35,20499.904082215244076505,3503,1439,71811164.00,673,19.21,577.00,45.35
21-November-2016,21862.30,21862.30,20132.60,20357.95,20855.041889619324262345,6541,2480,136412829.00,1875,28.67,1729.70,-1504.35
18-November-2016,21264.00,21911.95,20900.00,21805.20,21549.700842105263157894,4750,1746,102361079.00,1167,24.57,1011.95,541.20
17-November-2016,21200.00,21326.00,20660.00,21026.95,20869.587380745880312228,4612,1596,96250537.00,1708,37.03,666.00,-173.05
16-November-2016,20302.45,21750.05,20004.00,21093.65,20903.050270215152442133,9807,4226,204996214.00,1343,13.69,1746.05,791.20
15-November-2016,21848.40,21848.40,19570.90,20284.35,20669.215462296167535800,24162,3082,499409584.00,17456,72.25,2277.50,-1564.05
11-November-2016,22999.95,22999.95,21626.55,21745.40,22131.335655362053162236,5455,2207,120726436.00,1835,33.64,1373.40,-1254.55
10-November-2016,24000.00,24000.00,22900.00,23070.35,23496.609589041095890410,4672,1766,109776160.00,1254,26.84,1100.00,-929.65
9-November-2016,23700.00,23836.00,21900.00,23409.15,23155.957450761798587885,10764,3706,249250726.00,2454,22.80,1936.00,-290.85
8-November-2016,24200.00,24517.95,23900.00,24237.05,24129.216475972540045766,2185,949,52722338.00,592,27.09,617.95,37.05
7-November-2016,24340.35,24573.20,23995.00,24034.85,24219.562814070351758793,2587,969,62656009.00,548,21.18,578.20,-305.50
4-November-2016,24500.00,24757.65,23800.00,23951.95,24101.878225806451612903,3720,1208,89658987.00,956,25.70,957.65,-548.05
3-November-2016,24921.70,25119.65,24425.00,24568.20,24841.930651872399445214,2163,768,53733096.00,628,29.03,694.65,-353.50
2-November-2016,25198.00,25198.00,24760.00,24799.90,24936.524007267064624967,3853,1250,96080427.00,997,25.88,438.00,-398.10
1-November-2016,24200.00,25500.00,24200.00,25309.30,25040.795286348628031424,8783,3100,219933305.00,1378,15.69,1300.00,1109.30
