Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,425.10,433.35,423.00,424.80,425.524568807506218321,330073,3923,140454171.00,200687,60.80,10.35,-0.30
29-November-2016,412.00,429.30,412.00,427.95,427.279746206474792646,340119,3714,145325960.00,250173,73.55,17.30,15.95
28-November-2016,417.00,423.65,413.75,417.40,419.170247263220066392,611211,4380,256201466.00,460074,75.27,9.90,0.40
25-November-2016,409.90,419.50,404.45,417.10,415.684589049144880643,127643,3686,53059228.00,48601,38.08,15.05,7.20
24-November-2016,410.05,412.65,401.30,403.30,404.903529356914182699,643460,3540,260539225.00,53986,8.39,11.35,-6.75
23-November-2016,420.00,420.00,409.00,412.30,412.870658100926927146,345874,2445,142801226.00,268793,77.71,11.00,-7.70
22-November-2016,423.00,428.15,408.20,414.90,415.128604588981617099,422621,2628,175442066.00,10586,2.50,19.95,-8.10
21-November-2016,427.00,433.55,419.50,420.15,423.331513111748274122,325052,3718,137604755.00,23807,7.32,14.05,-6.85
18-November-2016,435.95,441.25,425.50,427.35,430.012302845831293501,140943,3783,60607224.00,43080,30.57,15.75,-8.60
17-November-2016,428.00,436.75,427.45,435.00,434.323057385506786252,62995,4391,27360181.00,22878,36.32,9.30,7.00
16-November-2016,444.95,444.95,424.00,428.50,432.700671363592711907,114543,3688,49562833.00,27481,23.99,20.95,-16.45
15-November-2016,438.60,446.45,421.00,435.95,433.957929818406743046,108319,3505,47005889.00,30300,27.97,25.45,-2.65
11-November-2016,448.00,449.00,428.40,438.60,435.288231862503125220,155989,3444,67900176.00,47282,30.31,20.60,-9.40
10-November-2016,452.60,455.70,446.00,449.30,450.756015240807393637,151698,4276,68378786.00,47287,31.17,9.70,-3.30
9-November-2016,420.20,448.50,418.00,445.15,434.662277589091093425,157816,6615,68596662.00,37390,23.69,30.50,24.95
8-November-2016,429.35,442.00,424.85,438.85,433.337831034135535192,119172,2711,51641736.00,46717,39.20,17.15,9.50
7-November-2016,425.00,429.60,422.00,426.30,426.272211119404781970,207655,1587,88517556.00,166786,80.32,7.60,1.30
4-November-2016,430.85,432.80,421.85,424.30,425.208223444603521462,39813,1509,16928815.00,12095,30.38,10.95,-6.55
3-November-2016,427.55,434.00,425.00,428.25,430.852990739452406350,258732,3047,111475456.00,148799,57.51,9.00,0.70
2-November-2016,426.00,431.50,419.70,428.80,424.844658299486503957,81987,2475,34831739.00,18966,23.13,11.80,2.80
1-November-2016,431.00,442.00,430.95,432.40,435.106347857352989245,122372,3343,53244834.00,59098,48.29,11.05,1.40
