Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1408.10,1469.00,1403.35,1451.95,1436.261985654964137410,5298,862,7609316.00,2158,40.73,65.65,43.85
29-November-2016,1430.00,1432.80,1405.00,1410.05,1421.128028634361233480,3632,660,5161537.00,2014,55.45,27.80,-19.95
28-November-2016,1441.00,1441.00,1425.00,1436.60,1434.582381729200652528,2452,397,3517596.00,762,31.08,16.00,-4.40
25-November-2016,1426.20,1452.75,1411.70,1436.90,1426.523168521874191043,3863,549,5510659.00,1573,40.72,41.05,10.70
24-November-2016,1416.00,1439.90,1407.90,1430.25,1420.302694721299372462,2709,449,3847600.00,700,25.84,32.00,14.25
23-November-2016,1410.10,1429.45,1397.00,1422.50,1411.876165803108808290,3860,677,5449842.00,537,13.91,32.45,12.40
22-November-2016,1415.00,1433.30,1386.50,1422.55,1410.167705088265835929,3852,540,5431966.00,1495,38.81,46.80,7.55
21-November-2016,1424.90,1424.95,1400.05,1413.00,1410.915170278637770897,3230,454,4557256.00,1333,41.27,24.90,-11.90
18-November-2016,1409.95,1429.00,1392.60,1421.30,1420.644767899291896144,5084,648,7222558.00,2343,46.09,36.40,11.35
17-November-2016,1405.00,1413.60,1386.75,1401.60,1400.031717405928406830,139734,811,195632032.00,135235,96.78,26.85,-3.40
16-November-2016,1358.65,1431.80,1358.65,1415.30,1404.627754774943234940,7487,1276,10516448.00,2131,28.46,73.15,56.65
15-November-2016,1400.00,1450.05,1285.55,1354.10,1348.126936829558998808,13424,2434,18097256.00,4154,30.94,164.50,-45.90
11-November-2016,1504.05,1504.05,1432.00,1447.50,1448.875624936230996837,9801,1675,14200430.00,4179,42.64,72.05,-56.55
10-November-2016,1510.00,1525.00,1490.00,1504.55,1510.262853619054960302,12973,2617,19592640.00,5173,39.88,35.00,-5.45
9-November-2016,1497.00,1506.80,1400.00,1483.50,1473.874019245003700962,13510,1892,19912038.00,6503,48.13,106.80,-13.50
8-November-2016,1533.80,1537.80,1525.15,1532.90,1532.267335766423357664,6576,1026,10076190.00,3343,50.84,12.65,-0.90
7-November-2016,1540.00,1544.00,1501.00,1521.40,1522.746003836317135549,12512,1787,19052598.00,1745,13.95,43.00,-18.60
4-November-2016,1540.00,1555.00,1499.85,1524.90,1519.503661616161616161,7920,1158,12034469.00,2309,29.15,55.15,-15.10
3-November-2016,1554.40,1568.00,1535.00,1536.95,1541.463539203631892556,10573,1350,16297894.00,4551,43.04,33.00,-17.45
2-November-2016,1579.00,1579.00,1550.00,1563.05,1561.546270718232044198,2896,506,4522238.00,659,22.76,29.00,-15.95
1-November-2016,1603.00,1604.00,1567.10,1573.30,1579.334378563283922462,3508,625,5540305.00,1232,35.12,36.90,-29.70
