Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,854.00,874.65,847.00,871.45,869.436614083219021490,69984,3033,60846652.00,35777,51.12,27.65,17.45
29-November-2016,845.00,853.00,840.50,848.25,847.981446428906088944,106718,1325,90494884.00,91247,85.50,12.50,3.25
28-November-2016,826.00,850.00,818.65,839.75,839.601060888935184814,124801,3748,104783052.00,85565,68.56,31.35,13.75
25-November-2016,809.40,825.85,803.80,822.90,817.988529903276447055,39494,1837,32305639.00,19821,50.19,22.05,13.50
24-November-2016,801.00,819.40,801.00,809.40,810.605467216332940714,20376,1453,16516897.00,7559,37.10,18.40,8.40
23-November-2016,810.00,817.80,803.85,810.40,810.698389694041867954,24840,1896,20137748.00,11433,46.03,13.95,0.40
22-November-2016,792.00,807.70,788.80,805.95,799.317120247056552789,20724,1381,16565048.00,4702,22.69,18.90,13.95
21-November-2016,821.35,821.35,781.80,785.90,793.994347279304041176,77131,2961,61241578.00,47601,61.71,39.55,-35.45
18-November-2016,820.00,824.80,802.00,820.10,813.594925798231149752,26684,2071,21709967.00,5624,21.08,22.80,0.10
17-November-2016,825.00,829.70,815.40,822.05,822.303870427614631633,31056,2583,25537469.00,15868,51.09,14.30,-2.95
16-November-2016,850.00,850.00,800.10,815.95,816.783645006502533745,44598,3551,36426917.00,11553,25.90,49.90,-34.05
15-November-2016,900.00,900.00,813.00,824.75,833.832282679004089329,182426,4800,152112688.00,138993,76.19,87.00,-75.25
11-November-2016,901.00,921.85,891.50,897.35,907.542004464810245564,25533,1968,23172270.00,12148,47.58,30.35,-3.65
10-November-2016,919.90,927.30,904.50,922.05,920.008478271401579380,41282,2965,37979790.00,16990,41.16,22.80,2.15
9-November-2016,874.00,914.95,819.90,898.75,879.708639966948124047,77454,5188,68136953.00,19155,24.73,95.05,24.75
8-November-2016,924.00,926.00,903.25,910.60,910.850232349812440512,53583,1808,48806088.00,39696,74.08,22.75,-13.40
7-November-2016,911.00,928.00,908.40,919.25,918.796427438959940809,28383,1728,26078199.00,10305,36.31,19.60,8.25
4-November-2016,901.00,918.50,885.60,899.75,898.094053956626133752,155347,3558,139516217.00,115108,74.10,32.90,-1.25
3-November-2016,931.00,944.00,898.45,909.85,917.089785255882836926,97232,4875,89170474.00,46002,47.31,45.55,-21.15
2-November-2016,960.10,962.25,935.20,937.00,944.706462009933424918,37852,2810,35759029.00,12422,32.82,27.05,-23.10
1-November-2016,971.55,979.00,960.00,964.15,970.001882330228292871,41438,3021,40194938.00,8596,20.74,19.00,-7.40
