Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,347.50,348.15,339.70,343.90,343.289954675057650145,88031,2655,30220158.00,25351,28.80,8.45,-3.60
29-November-2016,337.00,347.50,330.65,343.05,343.465453944392246929,114948,3301,39480667.00,24147,21.01,16.85,6.05
28-November-2016,330.00,338.30,327.20,334.50,332.849413676999883896,60291,1980,20067824.00,13794,22.88,11.10,4.50
25-November-2016,330.50,334.35,329.00,331.85,331.403711118415155227,100401,2627,33273264.00,25984,25.88,5.35,1.35
24-November-2016,327.75,342.50,323.75,335.75,336.969120913237647171,167492,4237,56439632.00,22101,13.20,18.75,8.00
23-November-2016,327.00,335.00,313.70,327.75,326.838122523620847302,164050,4865,53617794.00,41079,25.04,21.30,0.75
22-November-2016,311.60,316.95,305.50,314.85,311.575172005135464331,121508,3259,37858876.00,25155,20.70,11.45,3.25
21-November-2016,318.05,321.00,303.60,311.55,308.777351582741917314,177540,4022,54820331.00,15351,8.65,17.40,-6.50
18-November-2016,327.00,331.75,316.15,320.10,322.544031848984303224,127351,4047,41076305.00,37627,29.55,15.60,-6.90
17-November-2016,327.00,337.45,320.90,327.75,329.552615226880835132,128746,3045,42428581.00,29866,23.20,16.55,0.75
16-November-2016,334.90,334.90,318.00,325.45,324.717585692995529061,124806,3275,40526703.00,40374,32.35,16.90,-9.45
15-November-2016,356.00,356.00,325.00,327.70,334.966540195322134584,190557,2773,63830219.00,69996,36.73,31.00,-28.30
11-November-2016,378.00,378.00,352.85,355.50,357.483090921047125426,167277,3389,59798699.00,36656,21.91,25.15,-22.50
10-November-2016,382.00,392.70,375.40,378.50,387.145934096523887400,172434,1791,66757122.00,133584,77.47,17.30,-3.50
9-November-2016,375.00,386.70,354.00,375.95,374.813552538220365193,164899,3892,61806380.00,40448,24.53,32.70,0.95
8-November-2016,396.70,396.70,387.80,393.25,392.319163149424589317,65866,1710,25840494.00,9349,14.19,8.90,-3.45
7-November-2016,390.00,400.00,389.65,392.45,394.712277413308341143,50149,1405,19794426.00,13689,27.30,10.35,2.45
4-November-2016,394.00,398.00,380.85,385.45,387.230109176215826039,110830,2408,42916713.00,26270,23.70,17.15,-8.55
3-November-2016,409.00,409.55,390.65,394.35,401.382564008442690648,54485,1649,21869329.00,16915,31.05,18.90,-14.65
2-November-2016,405.95,413.35,398.90,408.35,407.604031067773234290,82658,3127,33691734.00,15473,18.72,14.45,2.40
1-November-2016,405.00,410.80,404.65,407.20,407.531067941036220015,48233,2207,19656446.00,15340,31.80,6.15,2.20
