Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,810.60,810.75,798.95,802.80,803.031979284673895452,30895,1381,24809673.00,8270,26.77,11.80,-7.80
29-November-2016,810.00,813.15,800.00,805.65,807.848166416470083637,37304,1354,30135968.00,10251,27.48,13.15,-4.35
28-November-2016,804.20,811.85,791.70,803.15,804.592427053466014504,59290,2340,47704285.00,13857,23.37,20.15,-1.05
25-November-2016,771.70,812.00,771.05,800.95,798.332000511349109400,140804,7008,112408339.00,42975,30.52,40.95,29.25
24-November-2016,763.00,771.90,753.95,766.15,765.108644151837364332,54453,2399,41662461.00,5987,10.99,17.95,3.15
23-November-2016,764.05,767.00,756.00,762.75,761.979238599165956683,22301,939,16992899.00,4199,18.83,11.00,-1.30
22-November-2016,761.40,766.50,755.60,760.90,762.227879937329924960,24254,1038,18487075.00,4483,18.48,10.90,-0.50
21-November-2016,765.00,778.90,756.55,759.15,768.648029657618478977,56107,2040,43126535.00,10177,18.14,22.35,-5.85
18-November-2016,760.50,779.00,760.10,762.45,768.084978260033090923,51978,2235,39923521.00,9372,18.03,18.90,1.95
17-November-2016,768.80,774.90,756.05,760.20,761.216482683982683982,739200,2506,562691224.00,710298,96.09,18.85,-8.60
16-November-2016,779.00,786.00,764.40,776.30,776.078118788809233342,72953,2898,56617227.00,15511,21.26,21.60,-2.70
15-November-2016,765.00,786.05,731.05,768.50,762.528515002425334349,57724,2149,44016196.00,10487,18.17,55.00,3.50
11-November-2016,788.15,788.15,755.05,763.60,763.033671215810634803,88295,3001,67372058.00,24038,27.22,33.10,-24.55
10-November-2016,790.00,805.75,776.00,788.15,792.945432261044105369,56297,2689,44640449.00,9533,16.93,29.75,-1.85
9-November-2016,780.00,796.25,763.05,783.85,783.885758809226346404,74439,2922,58351672.00,11342,15.24,33.20,3.85
8-November-2016,815.00,816.00,792.00,808.35,803.926880623776545870,60791,2647,48871519.00,14764,24.29,24.00,-6.65
7-November-2016,808.00,824.50,794.50,814.80,812.679971737817053565,97657,3812,79363888.00,22578,23.12,30.00,6.80
4-November-2016,763.55,799.00,763.05,794.20,783.598701973443262441,117409,4402,92001540.00,33677,28.68,35.95,30.65
3-November-2016,767.70,769.00,760.10,762.05,763.811070536229098596,26015,1049,19870545.00,8867,34.08,8.90,-5.65
2-November-2016,760.55,772.00,760.55,764.15,767.810314154754180707,47779,1367,36685209.00,9770,20.45,11.45,3.60
1-November-2016,768.00,776.00,767.15,772.80,771.807711924920942568,29409,926,22698093.00,11094,37.72,8.85,4.80
