Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1180.10,1201.75,1180.10,1199.60,1191.490270980064462217,67016,2042,79848912.00,22816,34.05,21.65,19.50
29-November-2016,1194.00,1194.00,1176.65,1179.05,1185.434453869515132474,47745,1289,56598568.00,13530,28.34,17.35,-14.95
28-November-2016,1181.80,1198.40,1180.00,1185.35,1190.050878169941573192,113133,2812,134634026.00,73293,64.78,18.40,3.55
25-November-2016,1174.90,1193.45,1159.30,1189.15,1176.164290016214964095,107925,5447,126937531.00,44278,41.03,34.15,14.25
24-November-2016,1187.00,1187.00,1163.55,1166.90,1174.114190285497290019,115868,2384,136042263.00,41864,36.13,23.45,-20.10
23-November-2016,1205.00,1205.00,1181.25,1184.90,1190.646313433134131473,50033,1549,59571607.00,21347,42.67,23.75,-20.10
22-November-2016,1206.20,1206.20,1189.35,1197.30,1194.791933522496959870,74010,2428,88426551.00,39866,53.87,16.85,-8.90
21-November-2016,1215.05,1219.75,1189.35,1198.50,1197.771036052379852887,60634,1931,72625649.00,17984,29.66,30.40,-16.55
18-November-2016,1232.55,1234.95,1208.35,1211.60,1219.846630165558597314,61368,3466,74859548.00,26641,43.41,26.60,-20.95
17-November-2016,1238.90,1249.00,1225.20,1229.70,1234.677229013854930725,92025,2515,113621172.00,45402,49.34,23.80,-9.20
16-November-2016,1264.95,1265.55,1241.00,1243.90,1247.793464390133587477,61907,1832,77247150.00,20070,32.42,24.55,-21.05
15-November-2016,1283.00,1288.00,1252.00,1255.25,1270.599800381878146155,115220,3080,146398509.00,37947,32.93,36.00,-27.75
11-November-2016,1277.30,1281.00,1268.95,1275.70,1276.144380654839027559,273991,3368,349652075.00,143345,52.32,12.05,-1.60
10-November-2016,1265.00,1282.00,1255.05,1276.20,1273.366634058069081249,258623,3658,329321899.00,90338,34.93,26.95,11.20
9-November-2016,1220.00,1258.50,1196.50,1251.90,1240.938606478931317911,649922,14695,806513301.00,310307,47.75,62.00,31.90
8-November-2016,1245.00,1257.20,1241.00,1254.60,1251.421136563801315103,233898,3156,292704901.00,166847,71.33,16.20,9.60
7-November-2016,1250.00,1254.00,1240.00,1249.90,1246.905220106264492687,109538,1897,136583504.00,74735,68.23,14.00,-0.10
4-November-2016,1250.00,1251.00,1242.00,1243.70,1246.198739102126375633,314855,4923,392371904.00,197072,62.59,9.00,-6.30
3-November-2016,1245.00,1259.90,1232.20,1256.60,1253.025686985350601743,74201,2130,92975759.00,36256,48.86,27.70,11.60
2-November-2016,1255.00,1255.00,1242.50,1246.05,1250.510561201224675916,122808,1865,153572701.00,66231,53.93,12.50,-8.95
1-November-2016,1253.70,1263.00,1250.00,1259.80,1258.317748476296630066,84334,1736,106118969.00,45781,54.29,13.00,6.10
