Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1260.00,1271.00,1238.95,1264.70,1255.549050692635790586,52986,3387,66526522.00,20951,39.54,32.05,4.70
29-November-2016,1247.25,1284.30,1244.00,1255.50,1266.699357011013975375,49301,2400,62449545.00,11285,22.89,40.30,8.25
28-November-2016,1240.00,1251.45,1234.10,1247.25,1241.776933732517091916,89516,2078,111158904.00,59269,66.21,17.35,7.25
25-November-2016,1230.00,1258.90,1210.55,1241.80,1231.771065951499584497,66185,2417,81524768.00,37825,57.15,48.35,11.80
24-November-2016,1225.95,1228.80,1213.50,1218.35,1222.300328608889036412,30127,1589,36824242.00,11879,39.43,15.30,-7.60
23-November-2016,1247.45,1254.50,1206.00,1225.95,1223.450847457627118644,47790,2171,58468716.00,13653,28.57,48.50,-21.50
22-November-2016,1228.80,1251.15,1225.00,1247.45,1240.117860780050094960,36331,1480,45054722.00,8648,23.80,26.15,18.65
21-November-2016,1252.00,1252.00,1215.00,1225.15,1232.805713226190404985,167191,4878,206114020.00,102145,61.09,37.00,-26.85
18-November-2016,1251.00,1262.00,1244.00,1250.90,1252.315081187170396747,192087,2510,240553447.00,148724,77.43,18.00,-0.10
17-November-2016,1257.00,1269.50,1238.50,1249.90,1251.621635949179198105,56591,2535,70830520.00,22224,39.27,31.00,-7.10
16-November-2016,1226.00,1264.80,1223.20,1254.60,1235.509726154710700931,185068,2689,228653314.00,126892,68.57,41.60,28.60
15-November-2016,1268.00,1268.00,1201.60,1226.20,1216.381479238346991496,1847613,7940,2247402234.00,1602449,86.73,66.40,-41.80
11-November-2016,1320.00,1320.00,1261.85,1271.50,1287.175234279906878907,507726,6429,653532333.00,371353,73.14,58.15,-48.50
10-November-2016,1369.00,1369.00,1315.00,1332.05,1336.305073428309106164,227637,6467,304192478.00,131697,57.85,54.00,-36.95
9-November-2016,1339.60,1364.20,1309.00,1349.10,1335.144895659802766304,890213,7065,1188563343.00,782882,87.94,55.20,9.50
8-November-2016,1380.00,1392.55,1365.00,1388.75,1373.464106115438267284,201441,1743,276671983.00,165353,82.09,27.55,8.75
7-November-2016,1387.00,1400.00,1372.00,1379.45,1383.336403651776980762,49072,1941,67883084.00,17810,36.29,28.00,-7.55
4-November-2016,1395.00,1405.00,1378.65,1385.90,1390.088771593090211132,33344,1537,46351120.00,10372,31.11,26.35,-9.10
3-November-2016,1395.00,1411.55,1395.00,1400.80,1404.674354920670769578,35422,1554,49756375.00,14536,41.04,16.55,5.80
2-November-2016,1400.00,1409.00,1392.80,1403.90,1401.056593467634424529,108016,3647,151336529.00,76493,70.82,16.20,3.90
1-November-2016,1380.85,1431.10,1377.70,1416.65,1417.484490007086555977,230013,4357,326039860.00,156728,68.14,53.40,35.80
