Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,3160.00,3176.00,3135.00,3169.00,3160.861311695079282364,13433,1573,42459850.00,3992,29.72,41.00,9.00
29-November-2016,3117.90,3180.00,3074.40,3160.05,3143.983498735162482973,25695,2898,80784656.00,3582,13.94,105.60,42.15
28-November-2016,3050.00,3117.00,3050.00,3101.50,3093.810361384887541066,19785,2457,61211038.00,2609,13.19,67.00,51.50
25-November-2016,3050.00,3092.50,3029.40,3039.10,3056.893342835085218837,16839,1755,51475027.00,4524,26.87,63.10,-10.90
24-November-2016,2999.00,3069.00,2978.55,3049.60,3028.059966072943172179,11790,1696,35700827.00,2599,22.04,90.45,50.60
23-November-2016,3030.00,3030.00,2996.35,3012.85,3011.733721252424494319,14436,1419,43477388.00,2937,20.34,33.65,-17.15
22-November-2016,2941.00,3015.00,2933.25,2997.00,2979.551675064425554829,25999,2525,77465364.00,7670,29.50,81.75,56.00
21-November-2016,2945.00,2953.45,2897.00,2928.10,2920.999367763859801635,50614,2522,147843462.00,37234,73.56,56.45,-16.90
18-November-2016,2900.00,2942.00,2876.00,2934.75,2923.122438042851798299,98899,3908,289093886.00,78081,78.95,66.00,34.75
17-November-2016,2949.00,2949.00,2844.40,2878.15,2875.383648652316712358,36841,4613,105932009.00,11591,31.46,104.60,-70.85
16-November-2016,2926.00,3018.00,2894.35,2914.50,2954.852871657918163121,32577,2957,96260242.00,5147,15.80,123.65,-11.50
15-November-2016,2980.00,2980.00,2869.00,2900.70,2904.703877678186262761,41726,4708,121201674.00,17142,41.08,111.00,-79.30
11-November-2016,3144.55,3144.55,2970.00,2981.75,3020.294168059304966362,46674,5392,140969210.00,13501,28.93,174.55,-162.80
10-November-2016,3290.00,3312.45,3135.00,3144.55,3204.496590987351070912,43561,5156,139591076.00,15637,35.90,177.45,-145.45
9-November-2016,3262.00,3262.00,3097.95,3235.70,3204.124582481679046811,60177,6516,192814605.00,10739,17.85,164.05,-26.30
8-November-2016,3378.00,3381.00,3327.00,3369.60,3360.257303285530009864,13179,1714,44284831.00,3572,27.10,54.00,-8.40
7-November-2016,3300.00,3379.00,3264.65,3350.15,3326.224531532388471416,21026,2726,69937197.00,3989,18.97,114.35,50.15
4-November-2016,3390.00,3390.00,3250.00,3282.95,3300.637955402010050251,25472,3684,84073850.00,6700,26.30,140.00,-107.05
3-November-2016,3330.00,3400.00,3317.00,3379.50,3371.518737439413642274,25377,2554,85559031.00,8478,33.41,83.00,49.50
2-November-2016,3360.00,3360.00,3316.25,3324.25,3337.401830663615560640,13110,1658,43753338.00,3738,28.51,43.75,-35.75
1-November-2016,3370.00,3388.10,3355.00,3370.80,3374.316340685254542932,14418,1540,48650893.00,4492,31.16,33.10,0.80
