Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,175.70,178.60,172.80,175.90,174.661962611062272725,1541365,8202,269217836.00,486514,31.56,5.80,0.20
29-November-2016,180.40,180.85,174.85,175.45,176.995588190385258984,1604557,6331,283999510.00,281028,17.51,6.00,-4.95
28-November-2016,181.00,182.10,177.80,178.55,179.578652817808587342,1726448,8630,310033206.00,260673,15.10,4.30,-2.45
25-November-2016,183.00,184.75,179.00,180.20,181.229267963425893560,2488974,11869,451074936.00,438918,17.63,5.75,-2.80
24-November-2016,173.75,181.20,172.25,180.45,177.613510489410086318,3064567,17627,544308503.00,719634,23.48,8.95,6.70
23-November-2016,169.00,174.10,168.15,173.50,171.916414468716967836,1907232,10334,327884487.00,257680,13.51,5.95,4.50
22-November-2016,158.75,167.30,158.70,166.65,164.433667145938173975,1391000,8159,228727231.00,268362,19.29,8.60,7.90
21-November-2016,166.00,170.70,156.30,157.40,162.284628283285400563,1829646,8172,296923421.00,190543,10.41,14.40,-8.60
18-November-2016,169.20,169.40,163.55,165.50,165.965534662056871305,1100555,5310,182654199.00,203423,18.48,5.85,-3.70
17-November-2016,164.80,169.60,162.20,168.40,167.210138887501814932,1301701,7651,217657605.00,199496,15.33,7.40,3.60
16-November-2016,171.05,172.40,161.15,163.05,165.382774132010959269,1380749,7740,228352100.00,299252,21.67,11.25,-8.00
15-November-2016,176.50,180.50,166.55,168.25,173.574833378387371234,2659769,16304,461668961.00,408429,15.36,13.95,-8.25
11-November-2016,174.30,178.00,171.10,172.35,173.925567541355519682,1404347,10363,244251849.00,266109,18.95,6.90,-1.95
10-November-2016,167.45,177.00,167.40,175.45,173.574741416266460693,2118076,12159,367644494.00,460586,21.75,9.60,8.00
9-November-2016,151.35,163.40,151.05,162.40,159.200861033540521874,1332120,6927,212074651.00,145143,10.90,12.35,11.05
8-November-2016,169.75,172.25,165.90,167.80,169.723853493554479152,2506702,15521,425447123.00,683541,27.27,6.35,-1.95
7-November-2016,162.10,168.65,161.30,167.50,165.632105364770615633,1657480,9507,274531902.00,509746,30.75,7.35,5.40
4-November-2016,163.45,164.95,154.90,158.20,158.491798845548935281,2451728,8149,388578781.00,609673,24.87,10.05,-5.25
3-November-2016,157.10,166.35,155.80,162.40,163.229486157219221610,5540722,18266,904409205.00,1864365,33.65,10.55,5.30
2-November-2016,155.00,157.90,153.05,156.35,155.525290622389687510,822459,5220,127913175.00,100931,12.27,4.85,1.35
1-November-2016,150.25,159.45,149.95,156.55,156.394477900444192477,1989678,8101,311174652.00,485223,24.39,9.50,6.30
