Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,475.30,477.55,465.45,469.95,471.022984509857667185,448737,6381,211365441.00,199203,44.39,12.10,-5.35
29-November-2016,480.00,485.95,470.55,475.30,477.119673787715866250,154378,3838,73656781.00,37620,24.37,15.40,-4.70
28-November-2016,464.00,483.05,462.35,480.85,478.381010282572493457,302648,6893,144781056.00,82818,27.36,20.70,16.85
25-November-2016,450.00,464.95,450.00,462.20,461.337297916695428879,144866,6787,66832089.00,47302,32.65,14.95,12.20
24-November-2016,457.50,457.50,440.65,452.20,448.233223792540482213,142717,4958,63970501.00,44572,31.23,16.85,-5.30
23-November-2016,445.75,456.00,444.15,454.15,452.638484465974503182,302626,9081,136980174.00,123020,40.65,11.85,8.40
22-November-2016,447.00,454.50,442.75,450.80,448.353698876455321146,176851,8139,79291800.00,59481,33.63,11.75,3.80
21-November-2016,460.50,465.70,436.95,441.75,450.242483701500094942,205387,5798,92473953.00,58732,28.60,28.75,-18.75
18-November-2016,443.50,463.15,443.50,460.20,457.439952853067419070,383482,13217,175419988.00,160122,41.75,19.65,16.70
17-November-2016,445.00,453.85,440.80,443.50,447.130995614707088107,241489,9291,107977217.00,56345,23.33,13.05,-1.50
16-November-2016,448.00,457.85,442.45,444.25,449.200155281902319185,258884,8347,116290733.00,72519,28.01,15.40,-3.75
15-November-2016,447.00,458.45,403.65,444.15,430.212640843453621456,675129,12912,290449030.00,207201,30.69,54.80,-2.85
11-November-2016,453.80,455.50,440.00,448.50,445.360018151835239681,246807,5698,109917970.00,57337,23.23,15.50,-5.30
10-November-2016,459.00,466.85,451.45,462.55,460.747941781828873860,258476,5603,119092285.00,55028,21.29,15.40,3.55
9-November-2016,432.55,452.60,413.45,450.10,434.050521695295706595,420552,11838,182540815.00,66879,15.90,39.15,17.55
8-November-2016,445.00,452.00,445.00,451.00,449.082017529280102826,90249,3127,40529203.00,26496,29.36,7.00,6.00
7-November-2016,442.00,453.60,442.00,444.75,447.314567291703972781,156364,3637,69943895.00,56235,35.96,11.60,2.75
4-November-2016,438.00,442.00,421.60,435.10,432.128500973393900064,231150,8847,99886503.00,62939,27.23,20.40,-2.90
3-November-2016,457.00,459.70,435.00,437.30,446.325892758916587823,181796,6436,81140262.00,38734,21.31,24.70,-19.70
2-November-2016,461.45,461.45,450.55,452.45,454.919705895784810704,109485,4003,49806884.00,32933,30.08,10.90,-9.00
1-November-2016,467.50,470.50,461.45,464.75,466.128584018199331871,146379,4869,68231436.00,43687,29.85,9.05,-2.75
