Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,282.00,283.20,273.90,282.25,278.337757594474703801,142472,2493,39655337.00,27974,19.63,9.30,0.25
29-November-2016,285.00,286.25,277.60,282.00,281.649001113789846184,212787,2935,59931246.00,43607,20.49,8.65,-3.00
28-November-2016,276.85,286.95,276.15,284.35,283.867844993550220518,358927,5898,101887834.00,52819,14.72,10.80,7.50
25-November-2016,277.00,281.45,271.30,272.95,275.534663255409337371,370147,4782,101988329.00,88946,24.03,10.15,-4.05
24-November-2016,258.00,278.00,258.00,273.55,270.204396408718021322,374351,5729,101151286.00,71435,19.08,20.00,15.55
23-November-2016,256.50,259.45,251.70,257.85,256.446875474430391572,171258,3015,43918579.00,31943,18.65,7.75,1.35
22-November-2016,247.00,254.50,246.00,252.20,250.812781719998214843,89628,1507,22479848.00,16504,18.41,8.50,5.20
21-November-2016,255.00,255.00,242.30,243.50,247.603063887556028883,85447,1472,21156939.00,11969,14.01,12.70,-11.50
18-November-2016,248.25,251.00,244.80,249.55,248.802837136851020068,198369,2002,49354770.00,124043,62.53,6.20,1.30
17-November-2016,239.00,253.25,233.00,250.75,246.238404770244881062,251224,4365,61860997.00,47398,18.87,20.25,11.75
16-November-2016,240.10,248.00,236.70,237.65,240.202678514351467109,125144,1755,30059924.00,50191,40.11,11.30,-2.45
15-November-2016,251.00,256.15,236.00,238.85,242.534612478583362598,93969,2273,22790735.00,27178,28.92,20.15,-12.15
11-November-2016,255.00,260.00,248.45,250.20,253.317424608126201123,109793,1782,27812480.00,31628,28.81,11.55,-4.80
10-November-2016,257.20,271.85,255.75,258.70,264.970817704975678368,273008,3236,72339153.00,46859,17.16,16.10,1.50
9-November-2016,246.00,255.90,233.25,253.30,248.224723725254528193,213827,3272,53077148.00,37290,17.44,22.65,7.30
8-November-2016,264.00,266.85,257.30,259.15,261.597140359288191996,141836,2133,37103892.00,18012,12.70,9.55,-4.85
7-November-2016,258.10,266.70,258.10,262.50,263.006515221758615360,161775,2188,42547879.00,37006,22.87,8.60,4.40
4-November-2016,272.00,272.00,253.55,255.30,259.675471293021702439,167677,2466,43541604.00,25987,15.50,18.45,-16.70
3-November-2016,270.00,275.40,265.90,267.10,269.549590829719777281,394579,3101,106358608.00,34899,8.84,9.50,-2.90
2-November-2016,272.65,273.70,266.20,269.70,270.387997107736804049,331920,6614,89747184.00,35052,10.56,7.50,-2.95
1-November-2016,254.00,275.90,254.00,272.70,265.344592834708000306,1566440,15669,415646384.00,814025,51.97,21.90,18.70
