Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,735.00,769.00,734.10,764.15,756.114646033478500491,92537,4166,69968581.00,12399,13.40,34.90,29.15
29-November-2016,714.00,737.50,714.00,726.50,726.326958092380300359,68651,2684,49863072.00,10963,15.97,23.50,12.50
28-November-2016,700.00,712.00,690.85,706.95,703.186342316559344939,37737,1703,26536143.00,4657,12.34,21.15,6.95
25-November-2016,681.20,712.35,678.95,700.55,697.922149456203952754,85510,3393,59679323.00,11215,13.12,33.40,19.35
24-November-2016,668.90,683.00,665.00,675.95,673.988579697239536954,44920,2580,30275567.00,10577,23.55,18.00,7.05
23-November-2016,677.30,678.50,668.75,672.15,673.571518193224592220,47820,2006,32210190.00,11993,25.08,9.75,-5.15
22-November-2016,660.00,674.90,638.40,671.20,660.093063417442195145,72961,3476,48161050.00,8666,11.88,36.50,11.20
21-November-2016,671.10,673.00,640.95,651.35,651.897096213033587581,89676,3041,58459524.00,18867,21.04,32.05,-19.75
18-November-2016,669.25,678.60,658.00,666.55,666.136147891735774127,94177,3801,62734704.00,23764,25.23,20.60,-2.70
17-November-2016,676.00,684.05,666.20,669.40,673.843742090609972158,63216,2880,42597706.00,18286,28.93,17.85,-6.60
16-November-2016,679.80,699.05,659.20,669.30,680.063503338542406591,154858,5729,105313274.00,27082,17.49,39.85,-10.50
15-November-2016,700.90,700.90,651.00,671.75,667.801599381925946425,173442,6540,115824845.00,36714,21.17,49.90,-29.15
11-November-2016,692.00,717.00,671.80,699.45,691.370894541338462805,279171,9140,193010704.00,60840,21.79,45.20,7.45
10-November-2016,762.00,762.00,673.80,700.25,709.178755763127956409,417525,17840,296099860.00,58849,14.09,88.20,-61.75
9-November-2016,740.00,745.95,631.05,722.50,687.683900899038055491,343367,18558,236127958.00,61222,17.83,114.90,-17.50
8-November-2016,794.00,796.00,782.30,786.90,788.133093408552994196,30843,1964,24308389.00,10069,32.65,13.70,-7.10
7-November-2016,790.00,811.00,788.00,793.15,805.015144956688683040,196369,2231,158080019.00,167032,85.06,23.00,3.15
4-November-2016,801.00,803.65,775.85,789.15,789.732797695533684463,70819,3574,55928087.00,10389,14.67,27.80,-11.85
3-November-2016,830.95,843.40,800.05,806.35,823.714681675481517097,70714,2924,58248160.00,29572,41.82,43.35,-24.60
2-November-2016,855.00,855.00,821.40,831.75,833.592884287051825742,36314,1793,30271092.00,9630,26.52,33.60,-23.25
1-November-2016,852.55,869.00,849.70,860.20,860.929783647091879741,35590,4639,30640491.00,16113,45.27,19.30,7.65
