Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,311.25,314.65,307.15,308.95,310.003804665587689491,118013,4414,36584479.00,43527,36.88,7.50,-2.30
29-November-2016,307.95,314.65,307.95,313.35,312.125752940505824006,105254,5181,32852484.00,48177,45.77,6.70,5.40
28-November-2016,304.90,308.50,303.10,307.50,306.194670410412511808,76216,3407,23336933.00,39208,51.44,5.40,2.60
25-November-2016,295.60,308.10,295.20,303.35,302.690315072025423197,143491,6705,43433336.00,60232,41.98,12.90,7.75
24-November-2016,295.00,295.95,291.60,295.05,293.784426255886549168,93221,4404,27386878.00,42108,45.17,4.35,0.05
23-November-2016,290.10,296.55,288.00,294.45,290.993469911788469413,90351,3008,26291551.00,54669,60.51,8.55,4.35
22-November-2016,285.30,290.50,281.10,288.85,285.821230480416417783,105471,4718,30145851.00,47320,44.87,9.40,3.55
21-November-2016,287.00,288.15,282.15,283.55,285.268923748217420700,176009,5543,50209898.00,97445,55.36,6.00,-3.45
18-November-2016,295.00,295.95,284.30,285.25,288.861460185128425182,146817,5063,42409773.00,81317,55.39,11.65,-9.75
17-November-2016,300.00,302.50,293.00,293.40,296.487586958910593983,118303,4310,35075371.00,77931,65.87,9.50,-6.60
16-November-2016,302.00,304.15,297.95,299.25,300.032755472621842332,99678,3194,29906665.00,56509,56.69,6.20,-2.75
15-November-2016,307.00,307.00,294.90,297.00,296.870538163053856936,196892,5968,58451434.00,131386,66.73,12.10,-10.00
11-November-2016,310.45,310.45,303.00,304.85,306.052671478141891267,162251,4026,49657352.00,92135,56.79,7.45,-5.60
10-November-2016,302.00,314.00,302.00,312.75,309.014769448661003817,285251,7859,88146772.00,114367,40.09,12.00,10.75
9-November-2016,294.00,299.85,273.65,298.05,293.666843749543077440,615531,17664,180761046.00,265713,43.17,26.20,4.05
8-November-2016,306.65,306.85,303.00,303.65,304.260846470045028479,122367,3576,37231487.00,64584,52.78,3.85,-3.00
7-November-2016,305.20,308.00,302.70,304.75,304.405985744243571574,191221,6189,58208817.00,105148,54.99,5.30,-0.45
4-November-2016,304.50,305.90,302.30,303.05,304.180337364799408762,200258,5855,60914546.00,126468,63.15,3.60,-1.45
3-November-2016,305.50,308.10,301.65,304.05,304.660555055628272251,195584,7866,59586730.00,120644,61.68,6.45,-1.45
2-November-2016,308.70,310.55,305.00,305.35,306.919736123402111182,236171,7399,72485541.00,152956,64.76,5.55,-3.35
1-November-2016,313.80,315.40,309.80,311.10,312.457679779060298126,225944,10673,70597938.00,108545,48.04,5.60,-2.70
