Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,79.40,79.60,76.60,77.55,77.886262549893061969,587256,3280,45739175.00,123172,20.97,3.00,-1.85
29-November-2016,78.75,79.55,77.60,79.15,78.820354458484122188,1178248,6747,92869925.00,305939,25.97,1.95,0.40
28-November-2016,72.45,76.30,72.45,75.80,75.521736650759776930,964362,3511,72830293.00,154837,16.06,3.85,3.35
25-November-2016,71.65,73.95,71.65,73.65,72.818838072736477934,474040,2141,34519042.00,85896,18.12,2.30,2.00
24-November-2016,72.50,72.50,71.25,71.60,71.933676877564653115,261975,1383,18844825.00,92672,35.37,1.25,-0.90
23-November-2016,71.50,73.10,71.05,72.70,72.205112744693152721,363210,2243,26225619.00,90328,24.87,2.05,1.20
22-November-2016,71.10,71.90,70.55,71.35,71.031716537451143717,530638,2040,37692128.00,249086,46.94,1.35,0.25
21-November-2016,69.45,72.40,69.45,71.05,71.526476269576105353,794655,2711,56838872.00,303136,38.15,2.95,1.60
18-November-2016,70.60,71.75,69.35,71.05,70.720842984275869661,1671253,2263,118192421.00,1292404,77.33,2.40,0.45
17-November-2016,70.55,71.40,69.60,70.00,70.683157233386381249,627106,2122,44325832.00,65503,10.45,1.80,-0.55
16-November-2016,72.55,72.70,69.70,70.50,70.502653449049698019,1151897,3398,81211795.00,130491,11.33,3.00,-2.05
15-November-2016,70.10,72.25,69.20,71.35,70.776570122262364011,881874,2799,62416017.00,110982,12.58,3.05,1.25
11-November-2016,73.00,73.00,69.80,69.95,70.878970627810687339,616842,2477,43721126.00,213971,34.69,3.20,-3.05
10-November-2016,72.35,74.35,72.35,73.00,73.429622777909989358,445414,1785,32706582.00,86936,19.52,2.00,0.65
9-November-2016,69.90,72.75,66.00,72.35,69.842965293378016508,1330553,6980,92929767.00,273377,20.55,6.75,2.45
8-November-2016,74.95,74.95,71.95,72.95,72.821050640095856719,475710,1801,34641702.00,79996,16.82,3.00,-2.00
7-November-2016,72.55,73.95,72.55,73.20,73.485881067701040942,578514,1814,42512611.00,75943,13.13,1.40,0.65
4-November-2016,73.60,74.40,71.55,72.05,72.326726130338314441,1731141,3224,125207761.00,1088360,62.87,2.85,-1.55
3-November-2016,74.60,75.85,73.30,73.60,74.817783444855177577,854840,2808,63957234.00,154542,18.08,2.55,-1.00
2-November-2016,76.55,76.55,74.10,74.30,75.059803805696726155,981476,3043,73669396.00,181613,18.50,2.45,-2.25
1-November-2016,76.55,77.35,76.40,76.60,76.900205764087702902,742598,2075,57105939.00,168081,22.63,0.95,0.05
