Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,879.10,886.30,853.00,859.05,867.383405670480807169,17741,1156,15388249.00,7315,41.23,33.30,-20.05
29-November-2016,890.00,890.00,866.20,874.05,881.895392278953922789,23287,2629,20536698.00,8776,37.69,23.80,-15.95
28-November-2016,871.55,925.85,864.00,889.10,899.908255773871078938,58020,4269,52212677.00,11227,19.35,61.85,17.55
25-November-2016,869.85,876.00,853.00,870.30,866.876620489139729775,29235,2096,25343138.00,8675,29.67,23.00,0.45
24-November-2016,860.00,869.00,860.00,863.25,864.277666606027530167,16491,1403,14252803.00,5366,32.54,9.00,3.25
23-November-2016,865.00,874.00,852.10,868.90,862.879615705931495405,23940,2051,20657338.00,8507,35.53,21.90,3.90
22-November-2016,850.75,863.10,846.00,855.05,856.110965677719604421,27504,2168,23546476.00,9023,32.81,17.10,4.30
21-November-2016,850.75,857.00,841.05,847.85,849.355515740977732275,23442,1434,19910592.00,7618,32.50,15.95,-2.90
18-November-2016,864.00,864.00,840.50,845.00,849.326067211625794732,8808,716,7480864.00,3864,43.87,23.50,-19.00
17-November-2016,836.00,868.00,835.00,858.60,849.739253739642996163,17983,1555,15280861.00,7258,40.36,33.00,22.60
16-November-2016,888.00,889.65,824.00,831.35,851.920870408493118056,58777,3080,50073353.00,31372,53.37,65.65,-56.65
15-November-2016,920.00,920.00,874.50,880.05,887.371563560262548752,31537,2415,27985037.00,10179,32.28,45.50,-39.95
11-November-2016,936.00,936.00,906.00,911.75,914.463271926775576410,17262,1420,15785465.00,4612,26.72,30.00,-24.25
10-November-2016,957.45,957.45,931.35,934.00,941.734062317950655771,127026,1649,119624711.00,112466,88.54,26.10,-23.45
9-November-2016,870.00,963.00,806.50,941.60,876.062840904359412083,96068,5106,84161605.00,29103,30.29,156.50,71.60
8-November-2016,929.90,945.00,921.20,926.25,931.193632105329788580,15798,1089,14710997.00,4441,28.11,23.80,-3.65
7-November-2016,928.00,933.95,920.75,927.60,926.724780948101550213,13353,962,12374556.00,5980,44.78,13.20,-0.40
4-November-2016,933.20,933.20,907.35,916.15,915.497545932328541024,23023,2073,21077500.00,7978,34.65,25.85,-17.05
3-November-2016,936.25,941.30,930.00,935.15,937.259491684970191402,15935,811,14935230.00,8608,54.02,11.30,-1.10
2-November-2016,935.00,940.50,926.95,935.50,933.962734082397003745,16020,1260,14962083.00,6400,39.95,13.55,0.50
1-November-2016,944.10,956.65,936.25,940.40,943.125290974193199130,129307,2248,121952702.00,107678,83.27,20.40,-3.70
