Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1062.00,1097.45,1058.40,1089.40,1083.903935110825570189,62260,2969,67483859.00,19092,30.66,39.05,27.40
29-November-2016,1048.00,1069.50,1043.10,1059.95,1060.190995442347829790,46954,2922,49780208.00,20525,43.71,26.40,11.95
28-November-2016,1056.50,1072.45,1047.00,1049.50,1058.808201157633616477,53212,4024,56341302.00,21972,41.29,25.45,-7.00
25-November-2016,1042.00,1081.05,1042.00,1073.10,1070.231241447468450661,52616,2933,56311287.00,17101,32.50,39.05,31.10
24-November-2016,1060.00,1066.25,1037.85,1041.50,1047.714923883204392313,80140,2862,83963874.00,44723,55.81,28.40,-18.50
23-November-2016,1078.00,1078.00,1060.25,1064.45,1066.202304737516005121,18744,1606,19984896.00,6495,34.65,17.75,-13.55
22-November-2016,1065.00,1075.75,1057.85,1071.20,1064.354441498176997016,60340,3874,64223147.00,30236,50.11,17.90,6.20
21-November-2016,1105.50,1105.50,1046.00,1058.40,1062.325990848604080549,90478,4862,96117131.00,39719,43.90,59.50,-47.10
18-November-2016,1107.90,1118.00,1097.15,1101.00,1104.944544897562725085,66919,2002,73941784.00,34885,52.13,20.85,-6.90
17-November-2016,1080.00,1111.35,1080.00,1100.00,1101.122276921262860006,33923,2182,37353371.00,11758,34.66,31.35,20.00
16-November-2016,1100.00,1115.55,1077.00,1095.35,1094.490245408062243032,85857,5252,93969649.00,20326,23.67,38.55,-4.65
15-November-2016,1195.25,1195.25,1079.25,1093.85,1120.388409495773900519,158302,8922,177359726.00,75787,47.87,116.00,-101.40
11-November-2016,1214.00,1229.40,1188.25,1193.00,1200.095219827368633587,99055,3161,118875432.00,64363,64.98,41.15,-21.00
10-November-2016,1205.00,1228.00,1203.35,1214.65,1217.413460504141417763,27889,1523,33952444.00,7243,25.97,24.65,9.65
9-November-2016,1170.00,1206.25,1153.00,1199.45,1183.109718242597898758,67008,4113,79277816.00,24374,36.37,53.25,29.45
8-November-2016,1217.05,1223.90,1203.25,1213.00,1211.200048007681228996,20830,1131,25229297.00,7197,34.55,20.65,-4.05
7-November-2016,1221.00,1228.95,1209.05,1214.10,1218.781786782046758648,53851,2020,65632618.00,28022,52.04,19.90,-6.90
4-November-2016,1235.00,1235.00,1207.00,1219.10,1217.776469345725299677,37874,1925,46122066.00,11484,30.32,28.00,-15.90
3-November-2016,1222.35,1233.85,1222.00,1230.70,1228.983247057611578974,77658,4164,95440381.00,14512,18.69,11.85,8.35
2-November-2016,1220.00,1235.45,1199.10,1226.20,1223.041786844882166725,42645,2463,52156617.00,16694,39.15,36.35,6.20
1-November-2016,1196.00,1219.10,1186.70,1210.15,1210.814620930339348854,21777,1477,26367910.00,7371,33.85,32.40,14.15
