Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,370.50,377.80,361.00,375.30,369.926934890020793986,52419,1643,19391200.00,8246,15.73,16.80,4.80
29-November-2016,364.45,373.00,364.45,370.55,369.018473590365671859,34211,1190,12624491.00,11412,33.36,8.55,6.10
28-November-2016,355.10,366.35,354.95,363.35,362.206168153726924070,50323,1738,18227301.00,10406,20.68,11.40,8.25
25-November-2016,361.65,363.35,353.70,355.20,357.620639868744872846,30475,1008,10898489.00,8496,27.88,9.65,-6.45
24-November-2016,358.85,363.85,355.85,360.30,360.638568770200124057,30631,1132,11046720.00,6533,21.33,8.00,1.45
23-November-2016,359.50,363.75,356.40,360.00,360.249766539760074707,41763,1459,15045111.00,10712,25.65,7.35,0.50
22-November-2016,361.00,363.80,357.70,359.25,360.204812822287206732,44797,1186,16136095.00,10736,23.97,6.10,-1.75
21-November-2016,353.35,364.50,350.85,359.25,360.152707245547528789,55924,1597,20141180.00,9867,17.64,13.65,5.90
18-November-2016,359.00,359.00,347.20,351.80,352.028362983770287141,51264,1807,18046382.00,15829,30.88,11.80,-7.20
17-November-2016,369.00,369.00,354.50,358.65,359.619198751300728407,38440,1298,13823762.00,13342,34.71,14.50,-10.35
16-November-2016,365.40,365.95,355.70,360.00,357.662511409244926793,1119706,1797,400476860.00,1071408,95.69,10.25,-5.40
15-November-2016,366.05,372.90,354.55,364.65,363.585016123449142815,1097780,2482,399136359.00,1034339,94.22,18.35,-1.40
11-November-2016,380.00,381.35,362.20,366.05,369.304325801024008105,55273,1702,20412558.00,12097,21.89,19.15,-13.95
10-November-2016,363.00,393.25,363.00,387.55,383.177118875798033597,84113,3171,32230177.00,27429,32.61,30.25,24.55
9-November-2016,350.00,368.05,337.70,364.20,357.028962082300683644,83523,3191,29820130.00,21537,25.79,30.35,14.20
8-November-2016,356.80,365.60,354.80,361.70,360.910850079989480835,45631,1431,16468723.00,5191,11.38,10.80,4.90
7-November-2016,365.30,366.45,353.95,356.30,357.320605953224663359,67728,2023,24200610.00,14366,21.21,12.50,-9.00
4-November-2016,373.55,381.80,359.50,364.05,368.756045562995459093,129930,3601,47912473.00,23066,17.75,22.30,-9.50
3-November-2016,368.00,384.40,366.60,381.40,378.547229997029068221,127906,3970,48418462.00,35532,27.78,17.80,13.40
2-November-2016,359.90,371.80,350.60,366.60,366.288344236362003578,144761,5351,53024267.00,34588,23.89,21.20,6.70
1-November-2016,350.00,358.00,348.10,355.20,355.477543516152909433,41881,1289,14887755.00,12840,30.66,9.90,5.20
