Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,970.00,977.50,962.00,975.45,970.672489144632329579,141635,3731,137481198.00,73028,51.56,15.50,5.45
29-November-2016,983.00,983.45,967.40,972.65,976.285491859999271588,109828,3997,107223483.00,31220,28.43,16.05,-10.35
28-November-2016,994.80,994.80,970.65,979.65,978.912122978328156895,375741,5017,367817420.00,251288,66.88,24.15,-15.15
25-November-2016,930.30,984.90,930.30,977.30,969.713416294383994030,396652,13551,384638766.00,109572,27.62,54.60,47.00
24-November-2016,923.30,940.00,922.90,932.70,935.085864707543214700,350633,6231,327871962.00,243593,69.47,17.10,9.40
23-November-2016,924.00,924.00,913.20,920.50,918.827557008963765365,171245,4296,157344625.00,103186,60.26,10.80,-3.50
22-November-2016,921.75,928.00,912.00,913.95,919.270754388678369808,103448,5352,95096721.00,43403,41.96,16.00,-7.80
21-November-2016,930.90,930.90,906.75,911.15,918.967883288884187940,132361,4760,121635508.00,54822,41.42,24.15,-19.75
18-November-2016,929.80,932.90,918.00,919.80,925.875005991353278947,104317,4647,96584503.00,44330,42.50,14.90,-10.00
17-November-2016,934.80,949.00,926.25,929.55,936.929977715836465128,135971,5445,127395306.00,50258,36.96,22.75,-5.25
16-November-2016,926.10,956.70,926.10,940.10,944.929125053443985222,182434,7726,172387200.00,70673,38.74,30.60,14.00
15-November-2016,922.00,938.00,909.55,924.75,925.444917731221257026,244625,10252,226386963.00,113620,46.45,28.45,2.75
11-November-2016,940.00,942.00,919.00,921.85,928.673172360694971382,215606,8403,200227508.00,88866,41.22,23.00,-18.15
10-November-2016,961.05,965.20,935.00,938.60,945.464910406413014647,271448,11185,256644559.00,128357,47.29,30.20,-22.45
9-November-2016,940.00,973.70,900.30,955.85,946.783517829153605015,408320,19062,386590646.00,133145,32.61,73.40,15.85
8-November-2016,986.05,990.00,970.95,982.80,979.153006356004214676,147105,6390,144038303.00,65694,44.66,19.05,-3.25
7-November-2016,982.25,990.00,975.60,978.75,981.081540278142219889,106708,4997,104689249.00,53480,50.12,14.40,-3.50
4-November-2016,966.90,978.85,962.00,970.80,970.715047579725531831,203448,7934,197490035.00,89256,43.87,16.85,3.90
3-November-2016,984.50,984.50,965.10,966.90,972.278856760822329934,209405,10057,203600054.00,107221,51.20,19.40,-17.60
2-November-2016,988.00,988.00,980.00,981.10,983.095315607329138918,141299,6832,138910385.00,59793,42.32,8.00,-6.90
1-November-2016,1009.85,1009.85,986.00,988.85,992.590932969795379652,230329,8919,228622477.00,158942,69.01,23.85,-21.00
