Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,301.00,308.00,300.05,305.80,304.586063368793213007,923767,7962,281366554.00,566294,61.30,7.95,4.80
29-November-2016,300.95,305.60,298.00,298.85,300.213652635880670208,305875,3801,91827851.00,128797,42.11,7.60,-2.10
28-November-2016,297.00,306.30,295.50,299.85,301.308426984313683557,467605,4785,140893327.00,202528,43.31,10.80,2.85
25-November-2016,296.50,298.90,294.80,296.50,296.593087062284324263,459602,4037,136314776.00,245529,53.42,4.10,0.00
24-November-2016,299.95,299.95,289.85,292.65,292.452483639566213213,727823,6102,212853644.00,495472,68.08,10.10,-7.30
23-November-2016,297.25,299.65,291.65,297.80,296.720595898498050830,606412,5958,179934930.00,322004,53.10,8.00,0.55
22-November-2016,295.90,298.55,289.80,296.00,293.823416415519535174,147324,3668,43287241.00,42065,28.55,8.75,0.10
21-November-2016,302.00,302.80,291.00,291.85,294.942313444298036425,123703,2339,36485249.00,40762,32.95,11.80,-10.15
18-November-2016,291.10,308.00,291.10,301.10,298.498722484732417355,215653,4266,64372145.00,42819,19.86,16.90,10.00
17-November-2016,292.95,297.30,287.85,293.40,293.513865586181970362,262845,5458,77148652.00,51248,19.50,9.45,0.45
16-November-2016,289.00,291.80,281.70,288.30,287.603014920676185068,292346,5352,84079591.00,93127,31.86,10.10,-0.70
15-November-2016,308.50,314.75,282.50,286.65,289.977044869643056954,536220,12994,155491491.00,195776,36.51,32.25,-21.85
11-November-2016,319.00,319.00,308.45,310.15,312.172050068591607537,152351,2686,47559724.00,49482,32.48,10.55,-8.85
10-November-2016,320.00,324.50,319.00,319.90,321.651880088558777317,224032,4477,72060314.00,65665,29.31,5.50,-0.10
9-November-2016,295.00,317.85,289.90,315.90,309.231969443961390107,477287,8335,147592399.00,156522,32.79,27.95,20.90
8-November-2016,315.95,319.00,313.20,317.80,316.486962113358092413,152402,3360,48233246.00,31424,20.62,5.80,1.85
7-November-2016,307.50,320.00,307.50,315.45,315.446621065624357128,194440,4437,61335441.00,40702,20.93,12.50,7.95
4-November-2016,310.10,311.20,294.00,305.70,303.505577447185237905,288035,5352,87420229.00,70278,24.40,17.20,-4.40
3-November-2016,315.60,319.80,308.85,310.05,314.132160927044230455,196064,4027,61590008.00,59786,30.49,10.95,-5.55
2-November-2016,324.00,325.00,315.00,315.60,317.661949261688681223,200322,4114,63634677.00,63432,31.67,10.00,-8.40
1-November-2016,326.05,327.75,323.70,325.05,325.040612132096293278,1045722,3688,339902119.00,920119,87.99,4.05,-1.00
