Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,232.00,234.40,229.80,232.90,232.017662226298018805,503787,3296,116887482.00,121671,24.15,4.60,0.90
29-November-2016,235.00,235.60,230.25,231.20,232.726508077392348299,408981,2713,95180720.00,123315,30.15,5.35,-3.80
28-November-2016,230.00,234.20,227.80,233.50,230.944763648809947824,575563,2818,132923261.00,337662,58.67,6.40,3.50
25-November-2016,224.00,230.25,223.10,228.75,227.389106277114943127,1114238,3859,253365583.00,577400,51.82,7.15,4.75
24-November-2016,224.50,225.00,222.25,223.60,223.240978281441311997,517806,4697,115595518.00,177578,34.29,2.75,-0.90
23-November-2016,226.50,227.35,223.75,224.55,224.895672165464886362,491077,2947,110441092.00,226543,46.13,3.60,-1.95
22-November-2016,224.75,227.90,223.45,226.20,225.761904614594579545,323257,4240,72979116.00,116912,36.17,4.45,1.45
21-November-2016,229.00,230.80,224.10,224.35,225.459872147714531184,343365,4150,77415029.00,100436,29.25,6.70,-4.65
18-November-2016,231.10,231.20,227.10,227.90,229.061332737779514809,394031,3022,90257266.00,149798,38.02,4.10,-3.20
17-November-2016,229.00,234.05,225.00,232.35,231.583357667533906176,530803,4585,122925141.00,143338,27.00,9.05,3.35
16-November-2016,239.00,241.90,227.60,230.70,232.558946855524272034,1175983,9055,273485368.00,349885,29.75,14.30,-8.30
15-November-2016,242.90,246.90,235.55,237.70,240.772586432912699778,906252,6386,218200638.00,371222,40.96,11.35,-5.20
11-November-2016,246.05,248.65,241.00,243.00,245.827234081259748146,373789,4275,91887516.00,107172,28.67,7.65,-3.05
10-November-2016,252.00,252.60,245.85,250.80,249.732442351246533484,566491,6804,141471181.00,198279,35.00,6.75,-1.20
9-November-2016,240.00,254.60,239.85,248.65,247.167601890749032825,2889860,21784,714279766.00,1363907,47.20,14.75,8.65
8-November-2016,256.00,258.00,252.20,255.75,254.510122549589563518,645045,6064,164170482.00,315240,48.87,5.80,-0.25
7-November-2016,253.00,259.60,247.25,256.70,256.622932849074505283,2475811,10031,635349880.00,1682726,67.97,12.35,3.70
4-November-2016,251.00,256.00,247.40,249.10,250.680346089761783097,6620479,17530,1659623967.00,4884326,73.78,8.60,-1.90
3-November-2016,237.80,242.05,236.15,240.35,239.627336995974394509,1212240,6234,290485843.00,727808,60.04,5.90,2.55
2-November-2016,237.25,238.95,235.50,237.30,237.454457550234852188,646364,4347,153482013.00,184629,28.56,3.45,0.05
1-November-2016,242.00,242.65,238.70,239.85,241.659002197899131866,816234,3169,197250294.00,611488,74.92,3.95,-2.15
