Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1700.00,1735.00,1690.00,1726.50,1717.660293140674306593,48168,2453,82736261.00,5767,11.97,45.00,26.50
29-November-2016,1707.00,1729.35,1699.15,1702.95,1712.557864651455699268,41286,2373,70704664.00,4688,11.35,30.20,-4.05
28-November-2016,1675.50,1730.45,1669.00,1723.35,1703.993192896562090661,46569,2842,79353259.00,6958,14.94,61.45,47.85
25-November-2016,1623.00,1680.00,1623.00,1674.25,1655.737944929482874412,59560,2492,98615752.00,8463,14.21,57.00,51.25
24-November-2016,1643.55,1655.00,1610.00,1615.75,1628.438057557582783125,39682,2475,64619679.00,4453,11.22,45.00,-27.80
23-November-2016,1645.00,1662.00,1643.00,1650.75,1651.426363965923509153,22068,1129,36443677.00,2705,12.26,19.00,5.75
22-November-2016,1650.00,1655.00,1620.00,1638.10,1637.409060626249167221,21014,1508,34408514.00,2925,13.92,35.00,-11.90
21-November-2016,1685.60,1692.00,1617.55,1624.60,1652.025284881583784067,38086,2430,62919035.00,5882,15.44,74.45,-61.00
18-November-2016,1660.00,1699.00,1650.00,1690.75,1675.990320499032049903,46490,2907,77916790.00,4722,10.16,49.00,30.75
17-November-2016,1707.15,1718.00,1644.65,1656.80,1687.082798587275531015,40206,2664,67830851.00,8497,21.13,73.35,-50.35
16-November-2016,1717.20,1733.20,1683.00,1698.45,1708.121050783992511116,34184,1853,58390410.00,5426,15.87,50.20,-18.75
15-November-2016,1713.00,1734.45,1676.55,1692.15,1703.084292305244736702,37714,2352,64230121.00,3821,10.13,57.90,-20.85
11-November-2016,1749.00,1750.00,1690.90,1717.40,1722.638165019239188037,43401,2431,74764219.00,3994,9.20,59.10,-31.60
10-November-2016,1701.05,1779.95,1701.05,1758.65,1749.039607461762885686,79177,5235,138483709.00,16795,21.21,78.90,57.60
9-November-2016,1535.05,1702.80,1535.05,1680.15,1636.258471495699973401,112790,6833,184553593.00,21065,18.68,167.75,145.10
8-November-2016,1606.00,1662.50,1605.00,1654.35,1632.000669898633759365,56725,2924,92575238.00,10676,18.82,57.50,48.35
7-November-2016,1607.00,1620.00,1595.25,1600.90,1609.232059504383135364,26351,1550,42404874.00,3209,12.18,24.75,-6.10
4-November-2016,1599.00,1609.50,1566.55,1589.15,1590.198379395167124873,62199,3328,98908749.00,8980,14.44,42.95,-9.85
3-November-2016,1632.00,1650.00,1585.40,1598.50,1624.409630836246499624,54637,2681,88752869.00,8088,14.80,64.60,-33.50
2-November-2016,1658.00,1658.00,1627.00,1633.85,1638.780787217459080280,41056,2266,67281784.00,6638,16.17,31.00,-24.15
1-November-2016,1659.55,1685.00,1642.25,1659.50,1664.051709433402551171,53936,3095,89752293.00,5884,10.91,42.75,-0.05
