Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,762.00,762.00,740.30,756.20,750.717120840918111766,73063,3207,54849645.00,24879,34.05,21.70,-5.80
29-November-2016,750.00,762.75,741.00,743.85,747.670463917525773195,38800,1613,29009614.00,13035,33.60,21.75,-6.15
28-November-2016,748.80,753.50,737.45,750.05,749.482492585409454324,467659,8024,350502233.00,370129,79.15,16.05,1.25
25-November-2016,763.00,763.00,743.55,749.75,749.419631525972605137,68553,2104,51374964.00,22305,32.54,19.45,-13.25
24-November-2016,761.05,761.05,740.00,743.35,748.290463698586563181,267221,3161,199958926.00,221362,82.84,21.05,-17.70
23-November-2016,773.00,773.00,761.20,764.15,766.765894104226370996,35941,1194,27558333.00,16336,45.45,11.80,-8.85
22-November-2016,765.00,772.00,761.55,769.05,762.729768657328346874,560986,1875,427880722.00,541810,96.58,10.45,4.05
21-November-2016,778.25,779.80,753.90,762.50,762.755021356908711632,50335,1861,38393274.00,18084,35.93,25.90,-15.75
18-November-2016,779.10,783.40,773.90,779.30,780.265849643885200758,256378,1130,200042998.00,238946,93.20,9.50,0.20
17-November-2016,771.00,780.30,769.75,775.65,774.518335218702865761,148512,1810,115025267.00,119689,80.59,10.55,4.65
16-November-2016,798.00,798.00,766.55,768.95,770.821239657778119316,312312,3947,240736723.00,220107,70.48,31.45,-29.05
15-November-2016,836.00,836.00,784.40,788.35,793.144003126861226920,107456,2861,85228082.00,44386,41.31,51.60,-47.65
11-November-2016,812.50,825.55,808.00,814.45,815.022953542142535625,357679,4497,291516595.00,228838,63.98,17.55,1.95
10-November-2016,828.00,833.40,813.35,820.00,823.327577393494333412,160414,6383,132073270.00,51851,32.32,20.05,-8.00
9-November-2016,800.00,830.00,762.10,823.85,789.296416004316983507,355804,8629,280834822.00,147433,41.44,67.90,23.85
8-November-2016,800.00,815.00,795.35,810.95,801.827359473979632747,49884,2306,39998356.00,12050,24.16,19.65,10.95
7-November-2016,805.75,807.45,800.00,801.55,804.141884259638209052,61085,2101,49121007.00,6779,11.10,7.45,-4.20
4-November-2016,806.00,811.60,789.80,799.45,799.350110044629210735,65428,2378,52299879.00,18882,28.86,21.80,-6.55
3-November-2016,801.30,810.90,798.45,805.50,803.199415394608639168,52343,2324,42041867.00,13509,25.81,12.45,4.20
2-November-2016,801.00,806.00,797.50,803.50,802.969473649733058203,30531,1176,24515461.00,12513,40.98,8.50,2.50
1-November-2016,820.00,820.00,804.00,805.90,809.689484918393307604,46381,2281,37554208.00,15442,33.29,16.00,-14.10
