Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,89.00,90.15,88.15,89.40,89.221945829264532045,583710,3146,52079742.00,96588,16.55,2.00,0.40
29-November-2016,87.35,90.50,87.35,88.50,89.307103444999977015,652627,3538,58284227.00,136820,20.96,3.15,1.15
28-November-2016,88.65,88.95,86.80,87.10,87.673727960109090315,734804,3610,64423006.00,150383,20.47,2.15,-1.55
25-November-2016,83.55,88.90,83.00,88.60,86.034753002466191534,1413921,5992,121646344.00,244519,17.29,5.90,5.05
24-November-2016,84.70,85.35,82.75,83.15,84.031649171768800809,637805,3868,53595806.00,137802,21.61,2.60,-1.55
23-November-2016,85.00,85.65,83.65,85.05,84.753991610802191392,682306,2763,57828157.00,152640,22.37,2.00,0.05
22-November-2016,83.20,84.75,81.90,84.00,83.309334569664391233,616879,3469,51391779.00,143985,23.34,2.85,0.80
21-November-2016,86.80,87.30,82.55,82.80,84.476993231914952855,826083,4793,69785008.00,197873,23.95,4.75,-4.00
18-November-2016,86.25,87.60,84.75,86.60,86.245065808248575962,876030,4930,75553265.00,142012,16.21,2.85,0.35
17-November-2016,84.95,87.70,84.10,85.35,85.746855178393796539,947987,5774,81286904.00,217945,22.99,3.60,0.40
16-November-2016,86.00,88.70,82.60,84.30,86.016369770699524004,2037414,9873,175250956.00,341353,16.75,6.10,-1.70
15-November-2016,94.80,94.80,81.50,84.75,86.772943137198855008,1714249,10297,148750431.00,525968,30.68,13.30,-10.05
11-November-2016,99.00,100.10,94.30,94.90,96.343328872049330546,1149146,6511,110712551.00,362383,31.53,5.80,-4.10
10-November-2016,101.10,104.40,100.30,100.65,102.530375266945255137,628406,4161,64430703.00,171965,27.37,4.10,-0.45
9-November-2016,94.00,101.95,90.00,100.45,97.186543733993888502,2789169,20077,271069695.00,479934,17.21,11.95,6.45
8-November-2016,104.45,104.70,102.35,103.75,103.436119698109003815,430884,2538,44568969.00,107982,25.06,2.35,-0.70
7-November-2016,102.30,104.95,102.30,103.30,103.756883411192701325,409499,2747,42488340.00,124471,30.40,2.65,1.00
4-November-2016,104.10,104.15,98.85,100.95,100.815122763301280344,1408605,6176,142008686.00,250664,17.80,5.30,-3.15
3-November-2016,104.10,105.75,102.35,103.15,104.779713784195019439,898413,3826,94135457.00,188005,20.93,3.40,-0.95
2-November-2016,107.00,107.00,103.80,104.20,105.114763934899670404,713299,4882,74978256.00,243385,34.12,3.20,-2.80
1-November-2016,108.40,109.15,106.95,107.80,108.234250847915035610,711451,4316,77003366.00,270596,38.03,2.20,-0.60
