Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1357.20,1390.20,1351.20,1382.55,1376.731451935282525299,142589,6934,196306761.00,34492,24.19,39.00,25.35
29-November-2016,1360.00,1369.50,1350.40,1354.55,1360.342822096902065788,66851,3311,90940278.00,19967,29.87,19.10,-5.45
28-November-2016,1371.00,1371.90,1350.25,1356.15,1360.657830175821180318,102718,4099,139764051.00,38175,37.16,21.65,-14.85
25-November-2016,1352.65,1374.90,1337.00,1369.70,1354.559590846778445639,189660,7673,256905772.00,86834,45.78,37.90,17.05
24-November-2016,1356.00,1365.00,1341.00,1352.55,1354.132066732660678769,110111,5580,149104836.00,34951,31.74,24.00,-3.45
23-November-2016,1359.90,1384.55,1350.10,1357.85,1370.266639930153817761,281762,11815,386089069.00,51260,18.19,34.45,-2.05
22-November-2016,1356.25,1360.00,1306.60,1329.20,1326.792006276826510361,216670,12519,287476024.00,62519,28.85,53.40,-27.05
21-November-2016,1375.00,1375.00,1339.50,1348.25,1352.989485297122076790,73421,3632,99337841.00,22600,30.78,35.50,-26.75
18-November-2016,1375.00,1381.95,1362.00,1368.90,1372.249133822635159023,70713,2749,97035853.00,26566,37.57,19.95,-6.10
17-November-2016,1375.00,1384.00,1360.00,1370.95,1368.813561199900285294,72206,3882,98836552.00,20112,27.85,24.00,-4.05
16-November-2016,1380.00,1389.00,1352.00,1372.10,1368.343520593063715114,96853,4706,132528175.00,24013,24.79,37.00,-7.90
15-November-2016,1385.00,1405.50,1363.55,1369.85,1382.406337528612486379,136741,5995,189031625.00,35885,26.24,41.95,-15.15
11-November-2016,1405.00,1408.50,1386.15,1389.75,1395.475403913407901962,69198,3639,96564107.00,19146,27.67,22.35,-15.25
10-November-2016,1400.00,1427.20,1400.00,1413.65,1416.948172399502693742,120650,6863,170954797.00,35260,29.23,27.20,13.65
9-November-2016,1348.90,1408.40,1295.30,1390.60,1360.349320569347727221,310039,15065,421761343.00,57685,18.61,113.10,41.70
8-November-2016,1401.55,1404.00,1384.60,1396.25,1391.162831621207442066,171619,7768,238749974.00,66588,38.80,19.40,-5.30
7-November-2016,1430.00,1431.95,1393.80,1399.85,1409.138197818315152626,327270,7701,461168658.00,237394,72.54,38.15,-30.15
4-November-2016,1422.00,1434.00,1397.00,1418.90,1416.032340743272410827,7285485,18925,10316482378.00,6278246,86.17,37.00,-3.10
3-November-2016,1440.00,1465.80,1440.00,1444.55,1451.695620064085001965,83951,4524,121871299.00,22807,27.17,25.80,4.55
2-November-2016,1457.00,1457.00,1437.00,1446.35,1445.045797404407281595,114810,4699,165905708.00,41441,36.10,20.00,-10.65
1-November-2016,1477.20,1480.15,1462.50,1464.60,1471.633048274152568631,64548,2865,94990970.00,19258,29.84,17.65,-12.60
