Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1536.70,1545.55,1497.55,1503.20,1520.889455989475479328,82094,4326,124855899.00,20673,25.18,48.00,-33.50
29-November-2016,1509.70,1523.00,1488.00,1517.05,1509.852713418411597075,64568,3436,97488170.00,13618,21.09,35.00,7.35
28-November-2016,1508.00,1518.85,1486.15,1504.75,1499.945906705958456120,69565,3970,104343737.00,16469,23.67,32.70,-3.25
25-November-2016,1470.00,1518.00,1447.50,1509.30,1492.193112531545305505,108574,6101,162013375.00,31135,28.68,70.50,39.30
24-November-2016,1487.30,1493.95,1453.00,1460.30,1472.844359464627151051,60145,4174,88584224.00,13987,23.26,40.95,-27.00
23-November-2016,1420.00,1494.00,1417.10,1487.30,1463.154875889185700993,133268,9143,194991724.00,39693,29.78,76.90,67.30
22-November-2016,1405.00,1416.00,1404.10,1413.45,1409.855656790300595451,55756,3267,78607912.00,23104,41.44,11.90,8.45
21-November-2016,1430.00,1433.00,1391.30,1398.15,1407.468792293607196879,50244,2838,70716862.00,18106,36.04,41.70,-31.85
18-November-2016,1423.00,1426.70,1409.70,1417.30,1419.874622306117140131,149923,3465,212871863.00,114956,76.68,17.00,-5.70
17-November-2016,1412.00,1437.70,1405.00,1413.00,1421.877472208856152299,81051,4492,115244591.00,21037,25.96,32.70,1.00
16-November-2016,1455.00,1457.75,1393.00,1407.55,1410.227449653071585716,118180,6988,166660680.00,32708,27.68,64.75,-47.45
15-November-2016,1470.00,1470.00,1425.00,1440.20,1442.991209852692586331,82820,5203,119508532.00,30883,37.29,45.00,-29.80
11-November-2016,1495.00,1495.60,1455.00,1460.15,1471.699625045546975093,85077,5372,125207789.00,24483,28.78,40.60,-34.85
10-November-2016,1545.00,1548.80,1487.10,1493.20,1513.247031278477995709,142654,7247,215870742.00,39898,27.97,61.70,-51.80
9-November-2016,1426.00,1563.10,1383.50,1529.05,1515.889594210231759393,391311,20339,593184273.00,54944,14.04,179.60,103.05
8-November-2016,1521.50,1545.70,1500.00,1509.30,1517.293893814501128327,105909,4948,160695079.00,41183,38.89,45.70,-12.20
7-November-2016,1524.00,1535.00,1490.10,1519.40,1517.099327123100480103,327846,14159,497374946.00,92914,28.34,44.90,-4.60
4-November-2016,1460.00,1461.95,1394.00,1420.90,1414.142385574222791545,182673,10164,258325632.00,55679,30.48,67.95,-39.10
3-November-2016,1495.00,1501.50,1468.00,1473.55,1482.108995912653275502,80003,3957,118573166.00,21814,27.27,33.50,-21.45
2-November-2016,1511.00,1524.00,1492.05,1495.50,1503.209423458294506964,83706,3626,125827648.00,10294,12.30,31.95,-15.50
1-November-2016,1527.00,1543.00,1509.00,1513.00,1524.970054242432759056,71162,4074,108519919.00,19813,27.84,34.00,-14.00
