Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1190.00,1198.50,1182.20,1185.95,1188.261518860436943899,47878,2384,56891585.00,13172,27.51,16.30,-4.05
29-November-2016,1164.00,1199.05,1158.60,1186.95,1185.619161166029750813,63326,3206,75080519.00,13504,21.32,40.45,22.95
28-November-2016,1175.00,1185.00,1155.50,1163.90,1166.733776178440897090,212866,4268,248357952.00,137581,64.63,29.50,-11.10
25-November-2016,1165.00,1180.50,1154.00,1175.10,1168.079113213280661654,75689,4171,88410740.00,20757,27.42,26.50,10.10
24-November-2016,1193.25,1199.00,1157.50,1164.50,1177.424888617638083613,81925,4445,96460534.00,29861,36.45,41.50,-28.75
23-November-2016,1225.00,1225.50,1186.05,1193.25,1199.491365586465556784,74122,3625,88908699.00,24734,33.37,39.45,-31.75
22-November-2016,1235.00,1235.00,1186.00,1217.85,1205.239093160602019432,52490,2637,63263000.00,11656,22.21,49.00,-17.15
21-November-2016,1245.00,1245.00,1191.00,1199.85,1204.750429330244818083,75117,3561,90497238.00,27954,37.21,54.00,-45.15
18-November-2016,1220.15,1246.40,1220.15,1239.05,1236.969809048683984173,34878,1646,43143033.00,9996,28.66,26.25,18.90
17-November-2016,1229.60,1245.00,1212.50,1219.65,1225.793327594385200541,56921,3971,69773382.00,28766,50.54,32.50,-9.95
16-November-2016,1250.00,1277.75,1217.10,1229.60,1249.991320102116445688,303575,3651,379466115.00,254405,83.80,60.65,-20.40
15-November-2016,1249.00,1256.50,1183.50,1238.15,1224.100922276845569414,73839,4159,90386388.00,11583,15.69,73.00,-10.85
11-November-2016,1310.00,1318.00,1233.05,1241.85,1288.068234627373193539,299965,11843,386375388.00,112977,37.66,84.95,-68.15
10-November-2016,1355.00,1379.00,1311.10,1321.35,1341.708227086841472215,41570,2537,55774811.00,14025,33.74,67.90,-33.65
9-November-2016,1310.00,1358.45,1259.40,1337.15,1308.873016479944939395,130765,7787,171154780.00,23947,18.31,99.05,27.15
8-November-2016,1382.00,1388.45,1367.00,1384.65,1379.460114640554096011,25122,1504,34654797.00,9312,37.07,21.45,2.65
7-November-2016,1375.00,1393.00,1374.50,1377.50,1381.901514652617714850,30370,1656,41968349.00,11975,39.43,18.50,2.50
4-November-2016,1360.00,1392.00,1346.00,1372.45,1374.470860866968725252,77027,4381,105871367.00,20662,26.82,46.00,12.45
3-November-2016,1370.00,1375.00,1352.25,1358.55,1364.011511720168372355,74359,3273,101426532.00,39989,53.78,22.75,-11.45
2-November-2016,1323.00,1386.00,1306.60,1369.35,1359.207479371225741022,433860,9619,589705757.00,261718,60.32,79.40,46.35
1-November-2016,1318.00,1338.00,1305.90,1322.50,1330.480829526113052046,89304,3031,118817260.00,53512,59.92,32.10,4.50
