Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,300.20,304.45,296.15,298.90,299.486622459751913433,60624,1237,18156077.00,14553,24.01,8.30,-1.30
29-November-2016,290.85,304.25,290.10,299.60,300.452950462054525722,182446,4253,54816439.00,31271,17.14,14.15,8.75
28-November-2016,287.00,293.50,281.00,290.00,288.741711044223199814,86380,1589,24941509.00,17710,20.50,12.50,3.00
25-November-2016,277.00,292.70,275.60,288.70,285.481898547674173858,114024,2672,32551788.00,24779,21.73,17.10,11.70
24-November-2016,272.00,282.50,265.40,277.95,275.247165934533087714,197596,5185,54387739.00,53111,26.88,17.10,5.95
23-November-2016,275.00,276.80,266.95,273.45,273.007963708135069386,130718,2504,35687055.00,50860,38.91,9.85,-1.55
22-November-2016,270.35,273.70,260.00,271.15,267.539132872588096195,82041,1985,21949178.00,13740,16.75,13.70,0.80
21-November-2016,275.00,275.00,251.75,265.40,263.434364176255820591,234727,4382,61835158.00,32809,13.98,23.25,-9.60
18-November-2016,273.95,281.15,269.00,273.15,274.940957222971290181,116441,2788,32014400.00,19565,16.80,12.15,-0.80
17-November-2016,280.05,286.00,272.25,274.55,276.545279139125784880,181397,6765,50164484.00,52366,28.87,13.75,-5.50
16-November-2016,294.65,297.10,278.25,281.85,286.918292811406229880,256281,6556,73531707.00,47104,18.38,18.85,-12.80
15-November-2016,288.00,294.85,260.60,291.90,269.914295533822889096,817612,7189,220685167.00,554753,67.85,34.25,3.90
11-November-2016,311.05,312.60,280.45,287.60,296.875752851867961608,314969,6483,93506659.00,102264,32.47,32.15,-23.45
10-November-2016,331.00,340.35,311.45,317.05,324.278781523520714950,211707,5511,68652088.00,86034,40.64,28.90,-13.95
9-November-2016,338.00,338.00,299.15,330.10,318.174342639132804457,412825,9651,131350323.00,111579,27.03,38.85,-7.90
8-November-2016,347.20,354.00,338.15,345.90,343.101262357904228254,62106,1917,21308647.00,12736,20.51,15.85,-1.30
7-November-2016,344.00,353.65,344.00,346.35,349.527553537392084314,35676,1177,12469745.00,7843,21.98,9.65,2.35
4-November-2016,351.65,354.40,338.00,342.25,343.584204279276913542,95203,2817,32710247.00,25214,26.48,16.40,-9.40
3-November-2016,351.85,359.50,348.55,349.95,353.432445457505698469,76775,2324,27134776.00,12237,15.94,10.95,-1.90
2-November-2016,350.00,356.20,345.15,350.30,351.645172204476022728,100491,2514,35337175.00,17648,17.56,11.05,0.30
1-November-2016,360.00,362.90,352.25,353.60,358.395984044351294706,59164,1783,21204140.00,16883,28.54,10.65,-6.40
