Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,251.00,254.50,245.70,252.30,250.031027290109508082,23012,926,5753714.00,7203,31.30,8.80,1.30
29-November-2016,247.00,250.30,245.90,248.60,248.367147777595538789,12194,342,3028589.00,3265,26.78,4.40,1.60
28-November-2016,253.20,254.80,248.75,250.10,250.164984898407468423,29136,969,7288807.00,11320,38.85,6.05,-3.10
25-November-2016,251.40,256.05,250.25,255.30,253.977276684659585582,11486,469,2917183.00,5236,45.59,5.80,3.90
24-November-2016,255.45,255.50,250.20,251.40,252.803543720906952299,19979,1191,5050762.00,7354,36.81,5.30,-4.05
23-November-2016,253.05,256.55,252.00,255.30,254.007415333085225158,107480,577,27300717.00,96261,89.56,4.55,2.25
22-November-2016,249.85,256.15,246.30,252.40,250.196553647802640550,16133,1074,4036421.00,8077,50.07,9.85,2.55
21-November-2016,249.10,253.25,248.50,249.50,251.278346663949598383,58887,1155,14797028.00,35501,60.29,4.75,0.40
18-November-2016,250.00,250.10,247.35,249.30,249.060181553289252493,26769,857,6667092.00,10691,39.94,2.75,-0.70
17-November-2016,247.50,253.75,246.65,249.00,249.981393797932644214,74975,1462,18742355.00,55530,74.06,7.10,1.50
16-November-2016,240.00,250.10,240.00,247.50,246.780935126029051841,31461,1361,7763975.00,9383,29.82,10.10,7.50
15-November-2016,250.00,250.00,235.15,239.65,239.076002149219394434,264282,2103,63183484.00,219739,83.15,14.85,-10.35
11-November-2016,262.90,263.90,246.00,249.85,251.542254385893101274,366459,4683,92179923.00,245014,66.86,17.90,-13.05
10-November-2016,263.30,270.00,262.80,267.45,267.878497676201427818,166968,2696,44727137.00,116563,69.81,7.20,4.15
9-November-2016,250.00,265.00,234.55,263.30,250.800124416420551659,165573,5274,41525729.00,43829,26.47,30.45,13.30
8-November-2016,259.90,261.40,256.80,260.60,260.088862674910510901,122920,2367,31970123.00,81254,66.10,4.60,0.70
7-November-2016,263.45,265.75,257.85,259.50,259.992280640711791532,402365,4991,104611794.00,319851,79.49,7.90,-3.95
4-November-2016,266.90,271.75,261.10,262.80,263.991490786423161232,316598,4859,83579178.00,205999,65.07,10.65,-4.10
3-November-2016,270.00,270.00,262.65,265.05,266.485896988964218259,192193,1471,51216724.00,170199,88.56,7.35,-4.95
2-November-2016,275.00,275.00,266.80,268.55,270.894668984555580937,258281,3054,69966946.00,216724,83.91,8.20,-6.45
1-November-2016,278.45,279.00,274.60,275.95,276.118141826500087981,28415,1285,7845897.00,13629,47.96,4.40,-2.50
