Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,5120.00,5274.00,5101.05,5263.45,5201.196115163351800922,75267,6751,391478428.00,15317,20.35,172.95,143.45
29-November-2016,4890.00,5115.95,4890.00,5090.85,5051.672273637636956265,76393,6711,385912400.00,15327,20.06,225.95,200.85
28-November-2016,4873.00,4916.00,4835.20,4897.10,4888.967951675825328243,47678,4161,233096214.00,8018,16.82,80.80,24.10
25-November-2016,4849.95,4904.50,4795.65,4873.60,4866.380274791843889361,38793,3971,188781490.00,8985,23.16,108.85,23.65
24-November-2016,4882.00,4882.00,4805.00,4838.55,4849.273774978905558642,48591,3816,235631062.00,14807,30.47,77.00,-43.45
23-November-2016,4950.00,4952.00,4862.00,4881.55,4891.372073578595317725,60996,4557,298354131.00,29364,48.14,90.00,-68.45
22-November-2016,4810.05,4955.00,4810.05,4930.50,4893.431754874651810584,76108,4378,372429304.00,42701,56.11,144.95,120.45
21-November-2016,4999.80,4999.80,4769.65,4788.35,4855.662854400767785020,50014,4986,242851122.00,13374,26.74,230.15,-211.45
18-November-2016,4925.00,4987.70,4893.05,4960.20,4950.559205453255605934,32421,3742,160502080.00,4200,12.95,94.65,35.20
17-November-2016,5000.00,5029.95,4925.00,4932.90,4959.751971646604297710,31319,5286,155334472.00,7863,25.11,104.95,-67.10
16-November-2016,4940.00,5010.10,4902.50,4983.40,4966.303634321147355107,381887,6530,1896566796.00,318025,83.28,107.60,43.40
15-November-2016,5124.00,5125.00,4804.00,4842.70,4897.831652530335619495,98564,10886,482749879.00,37699,38.25,321.00,-281.30
11-November-2016,5300.00,5300.00,5096.00,5136.15,5164.209560229445506692,117675,9729,607698360.00,44378,37.71,204.00,-163.85
10-November-2016,5500.10,5519.45,5300.10,5324.80,5401.482256169212690951,80845,8359,436682833.00,26094,32.28,219.35,-175.30
9-November-2016,5275.00,5550.00,5251.00,5396.70,5420.779691671690638187,92888,11597,503525384.00,31696,34.12,299.00,121.70
8-November-2016,5740.00,5740.00,5582.50,5661.95,5640.836749145204038278,49427,4674,278809638.00,13271,26.85,157.50,-78.05
7-November-2016,5760.00,5777.00,5712.00,5720.70,5742.659171597633136094,22815,2650,131018769.00,8523,37.36,65.00,-39.30
4-November-2016,5810.00,5810.00,5670.00,5714.65,5706.338130579756910831,46485,5880,265259128.00,12794,27.52,140.00,-95.35
3-November-2016,5790.10,5859.00,5784.05,5806.60,5822.950538720538720538,29700,3070,172941631.00,11789,39.69,74.95,16.50
2-November-2016,5810.00,5865.00,5790.40,5798.60,5824.178801476442064123,27634,3620,160945357.00,7384,26.72,74.60,-11.40
1-November-2016,5901.10,5972.00,5856.00,5878.50,5901.018739511467462241,75082,7079,443060289.00,20119,26.80,116.00,-22.60
