Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,304.10,311.00,304.10,309.35,307.206849448726705044,102490,2124,31485630.00,20246,19.75,6.90,5.25
29-November-2016,302.05,310.00,300.55,303.75,305.404886220857182744,143260,2959,43752304.00,35954,25.10,9.45,1.70
28-November-2016,301.00,305.55,297.40,301.75,300.697025756594714137,118921,1352,35759191.00,67649,56.89,8.15,0.75
25-November-2016,296.00,303.65,294.50,302.20,299.976824264921363680,81896,1646,24566902.00,20584,25.13,9.15,6.20
24-November-2016,295.00,300.00,290.70,296.50,295.455440256998019932,121713,1926,35960768.00,37111,30.49,9.30,1.50
23-November-2016,289.50,298.65,285.00,296.85,292.614817656469359104,122516,2172,35849997.00,36127,29.49,13.65,7.35
22-November-2016,284.00,289.50,280.00,285.15,284.544580886278697277,179808,4590,51163392.00,51733,28.77,9.50,1.15
21-November-2016,292.00,292.95,279.40,280.50,284.093397506572809770,94328,2496,26797962.00,25740,27.29,13.55,-11.50
18-November-2016,297.95,300.40,288.60,290.80,294.243648932230588816,81010,2024,23836678.00,18772,23.17,11.80,-7.15
17-November-2016,294.50,298.05,288.55,296.25,294.249696163229097360,112725,2683,33169297.00,18593,16.49,9.50,1.75
16-November-2016,290.00,303.30,282.00,294.25,294.427032964544147123,264921,5228,77999904.00,37866,14.29,21.30,4.25
15-November-2016,307.00,307.00,278.00,285.80,284.690590747593436214,867731,6638,247034851.00,394300,45.44,29.00,-21.20
11-November-2016,317.00,321.85,300.35,302.20,308.741331065782058000,303411,4782,93675516.00,120603,39.75,21.50,-14.80
10-November-2016,314.70,335.40,309.30,326.35,327.395754373040870173,665155,13353,217768923.00,78465,11.80,26.10,11.65
9-November-2016,300.00,313.75,280.60,307.90,298.113324386701487233,289867,8007,86413215.00,64544,22.27,33.15,7.90
8-November-2016,316.00,319.65,307.20,311.65,312.512881499908986105,82405,2248,25752624.00,20822,25.27,12.45,-4.35
7-November-2016,302.50,320.75,302.50,315.45,310.918757878240724968,587060,2557,182527966.00,490126,83.49,18.25,12.95
4-November-2016,314.15,314.15,300.00,302.50,305.079275827336635411,192606,2403,58760099.00,116331,60.40,14.15,-11.65
3-November-2016,322.00,325.35,311.30,313.95,319.075489268825027282,68725,2048,21928463.00,25406,36.97,14.05,-8.05
2-November-2016,325.00,326.85,318.60,323.20,322.471258245221544553,112641,2083,36323485.00,24049,21.35,8.25,-1.80
1-November-2016,331.15,331.15,326.50,328.35,327.705233434131641888,94909,1918,31102176.00,40717,42.90,4.65,-2.80
