Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,49490.00,50600.00,49490.00,49899.25,50126.053752535496957403,1972,1253,98848578.00,346,17.55,1110.00,409.25
29-November-2016,47726.00,49450.00,47590.95,49105.90,48403.305679642629227823,4701,1214,227543940.00,3163,67.28,1859.05,1379.90
28-November-2016,47600.00,48450.00,47301.05,47587.95,47643.413709116214335421,2874,616,136927171.00,2075,72.20,1148.95,-12.05
25-November-2016,47533.25,47756.40,47200.00,47394.80,47489.232558139534883720,774,524,36756666.00,166,21.45,556.40,-138.45
24-November-2016,47300.00,47800.00,46945.55,47168.65,47350.308457711442786069,804,553,38069648.00,153,19.03,854.45,-131.35
23-November-2016,47449.00,48279.00,46609.10,47510.95,47409.448244824482448244,1111,753,52671897.00,122,10.98,1669.90,61.95
22-November-2016,47000.00,47450.00,46450.00,46970.85,46955.565963060686015831,1516,1010,71184638.00,197,12.99,1000.00,-29.15
21-November-2016,49198.85,49257.15,46651.00,46805.25,47751.349389416553595658,1474,1020,70385489.00,310,21.03,2606.15,-2393.60
18-November-2016,50190.00,50190.00,49000.00,49198.85,49415.314481576692373607,1167,791,57667672.00,219,18.77,1190.00,-991.15
17-November-2016,51898.00,51898.00,49539.00,49883.60,50132.955668604651162790,1376,968,68982947.00,117,8.50,2359.00,-2014.40
16-November-2016,50900.00,51650.00,50400.00,50589.65,50979.878667724028548770,1261,941,64285627.00,233,18.48,1250.00,-310.35
15-November-2016,52500.00,53000.00,49900.00,50094.05,51177.472105578884223155,1667,1146,85312846.00,343,20.58,3100.00,-2405.95
11-November-2016,52772.50,53389.50,52206.00,52696.35,52808.325136612021857923,1464,1009,77311388.00,262,17.90,1183.50,-76.15
10-November-2016,52501.00,53950.00,52501.00,53528.05,53462.200753498385360602,1858,1323,99332769.00,510,27.45,1449.00,1027.05
9-November-2016,47500.00,52550.00,47053.05,52099.85,50576.742362280490738513,4157,2778,210247518.00,512,12.32,5496.95,4599.85
8-November-2016,50900.00,52389.95,50420.00,52051.20,51426.944413563090605892,1799,1174,92517073.00,378,21.01,1969.95,1151.20
7-November-2016,50980.00,51000.00,50500.00,50834.80,50803.696030977734753146,1033,718,52480218.00,221,21.39,500.00,-145.20
4-November-2016,50250.00,50900.00,49600.00,50319.90,50234.225204731574158325,2198,1418,110414827.00,510,23.20,1300.00,69.90
3-November-2016,49500.00,50750.00,49173.00,50305.90,50267.566368752068851373,3021,1650,151858318.00,433,14.33,1577.00,805.90
2-November-2016,49447.30,50250.00,48848.50,49607.65,49552.590909090909090909,2354,1516,116646799.00,290,12.32,1401.50,160.35
1-November-2016,48199.00,50400.00,47964.20,50086.95,48981.719912839423399262,5966,1963,292224941.00,3612,60.54,2435.80,1887.95
