Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,6320.00,6401.15,6199.95,6256.65,6298.115846994535519125,2745,811,17288328.00,993,36.17,201.20,-63.35
29-November-2016,6295.00,6499.90,6240.00,6270.90,6382.394690883688438700,2863,1065,18272796.00,674,23.54,259.90,-24.10
28-November-2016,6226.00,6310.00,6132.00,6291.40,6228.902906059923406172,4439,1240,27650100.00,694,15.63,178.00,65.40
25-November-2016,6164.30,6199.00,6120.00,6159.75,6152.937304075235109717,957,389,5888361.00,410,42.84,79.00,-4.55
24-November-2016,5924.35,6222.00,5903.00,6139.05,6057.344798301486199575,2355,1190,14265047.00,1097,46.58,319.00,214.70
23-November-2016,5892.95,5991.95,5892.95,5962.80,5935.119283065512978986,1618,661,9603023.00,784,48.45,99.00,69.85
22-November-2016,5918.75,5959.00,5864.00,5892.95,5896.364389233954451345,1449,513,8543832.00,834,57.56,95.00,-25.80
21-November-2016,5920.00,5939.95,5838.30,5855.00,5873.963114754098360655,1220,529,7166235.00,525,43.03,101.65,-65.00
18-November-2016,5980.00,5980.00,5860.00,5892.25,5897.790019193857965451,2605,804,15363743.00,1408,54.05,120.00,-87.75
17-November-2016,6014.95,6015.00,5934.00,5958.10,5980.215012722646310432,1572,601,9400898.00,954,60.69,81.00,-56.85
16-November-2016,6075.80,6100.00,5930.10,5977.60,6013.169157489949309561,22884,638,137605363.00,8456,36.95,169.90,-98.20
15-November-2016,6300.00,6300.00,5946.00,5980.10,6025.515526077781127524,3317,1218,19986635.00,1700,51.25,354.00,-319.90
11-November-2016,6429.00,6429.00,6170.00,6270.15,6274.048728813559322033,3304,935,20729457.00,2324,70.34,259.00,-158.85
10-November-2016,6470.00,6526.00,6398.40,6429.00,6431.137119113573407202,1444,763,9286562.00,811,56.16,127.60,-41.00
9-November-2016,6350.00,6450.00,5701.05,6398.40,6268.250151179197742390,4961,1314,31096789.00,1975,39.81,748.95,48.40
8-November-2016,6528.00,6528.00,6410.00,6451.05,6461.472060535506402793,1718,565,11100809.00,661,38.47,118.00,-76.95
7-November-2016,6654.00,6712.55,6410.00,6527.05,6590.341019674211973767,4727,1052,31152542.00,3428,72.52,302.55,-126.95
4-November-2016,6726.70,6776.95,6621.00,6637.15,6662.845083487940630797,2156,729,14365094.00,1084,50.28,155.95,-89.55
3-November-2016,6748.55,6788.50,6651.00,6711.95,6728.389575173244953299,3319,734,22331525.00,1792,53.99,137.50,-36.60
2-November-2016,6786.10,6812.00,6683.00,6748.55,6715.075830815709969788,3310,1045,22226901.00,1644,49.67,129.00,-37.55
1-November-2016,6942.65,6968.40,6750.00,6786.10,6869.007910074937552039,2402,860,16499357.00,1047,43.59,218.40,-156.55
