Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,123.00,123.00,119.30,122.00,121.044983632244878955,622871,3336,75395410.00,171731,27.57,3.70,-1.00
29-November-2016,123.40,124.40,120.10,121.30,122.255306591442997855,430361,1766,52613916.00,132847,30.87,4.30,-2.10
28-November-2016,122.95,125.25,121.80,122.60,123.352745077612251276,460752,2629,56835024.00,129001,28.00,3.45,-0.35
25-November-2016,121.50,125.65,120.55,122.20,123.177588249929845409,880199,5108,108420790.00,244404,27.77,5.10,0.70
24-November-2016,115.00,120.65,115.00,119.75,118.189288608321057717,718226,4229,84886620.00,125587,17.49,5.65,4.75
23-November-2016,116.50,116.85,114.15,115.10,115.450496669775966746,611070,3793,70548335.00,129188,21.14,2.70,-1.40
22-November-2016,109.80,114.50,108.90,113.95,112.202900969387608297,347539,2170,38994884.00,110339,31.75,5.60,4.15
21-November-2016,115.00,115.35,107.90,108.60,110.930846263836564989,386747,2597,42902172.00,117903,30.49,7.45,-6.40
18-November-2016,117.55,118.25,112.90,113.95,115.005888414544383924,237755,1577,27343225.00,50320,21.16,5.35,-3.60
17-November-2016,115.00,119.35,114.20,116.90,117.090725657821087954,366247,2334,42884127.00,57887,15.81,5.15,1.90
16-November-2016,121.00,121.00,109.70,114.85,114.314589605171096804,778945,4499,89044778.00,112259,14.41,11.30,-6.15
15-November-2016,125.50,125.55,117.25,118.00,120.037421624979769978,383094,3490,45985616.00,102848,26.85,8.30,-7.50
11-November-2016,129.00,131.85,125.10,125.65,128.000518284379668066,605845,3282,77548474.00,85956,14.19,6.75,-3.35
10-November-2016,127.00,135.50,127.00,130.70,132.553021792764490956,2467608,4461,327088897.00,182401,7.39,8.50,3.70
9-November-2016,120.25,125.35,114.55,124.35,121.180007470990721766,760274,6791,92130009.00,119613,15.73,10.80,4.10
8-November-2016,129.90,129.90,125.30,127.10,127.089549233440446363,1435244,1682,182404513.00,64450,4.49,4.60,-2.80
7-November-2016,128.55,130.60,126.85,127.25,127.719821752993012740,2455469,2169,313612063.00,111276,4.53,3.75,-1.30
4-November-2016,133.00,134.80,125.95,127.00,127.520730589103449283,2189904,4539,279258158.00,148631,6.79,8.85,-6.00
3-November-2016,136.00,139.60,132.10,133.35,135.745182171161810661,757447,5108,102819781.00,178195,23.53,7.50,-2.65
2-November-2016,137.90,142.65,135.80,138.35,139.638654663554365545,1031177,7051,143992169.00,224186,21.74,6.85,0.45
1-November-2016,132.65,139.80,132.45,138.20,137.488772110111165261,906938,6307,124693792.00,247722,27.31,7.35,5.55
