Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,163.00,164.00,162.00,163.15,162.551851191129651992,145744,1082,23690957.00,68611,47.08,2.00,0.15
29-November-2016,164.30,165.20,162.20,163.15,163.718867659150906651,184856,2468,30264415.00,50278,27.20,3.00,-1.15
28-November-2016,160.00,165.00,160.00,164.30,163.513122304586699592,225151,2142,36815143.00,69143,30.71,5.00,4.30
25-November-2016,157.30,162.20,155.55,161.45,160.171768420898387415,272978,3087,43723369.00,66804,24.47,6.65,4.15
24-November-2016,159.95,160.00,155.30,156.80,156.852929249614296434,214543,2482,33651698.00,57659,26.88,4.70,-3.15
23-November-2016,155.90,160.95,151.15,159.95,156.602147798440431015,302263,3603,47335035.00,121634,40.24,9.80,4.05
22-November-2016,155.25,155.25,151.15,154.20,153.178852741214724139,115022,1779,17618938.00,23995,20.86,4.10,-1.05
21-November-2016,159.00,159.80,154.35,154.90,157.410273596020421521,190975,2489,30061427.00,54240,28.40,5.45,-4.10
18-November-2016,152.75,159.75,152.55,158.60,157.421389398566670933,492141,4816,77473520.00,110631,22.48,7.20,5.85
17-November-2016,150.00,152.45,149.10,151.65,150.615322122024534893,135399,1387,20393164.00,26353,19.46,3.35,1.65
16-November-2016,150.60,151.30,149.25,150.00,150.073270768161279110,115080,1061,17270432.00,51327,44.60,2.05,-0.60
15-November-2016,152.20,152.40,149.05,150.05,150.078241739309060668,301821,1690,45296765.00,216265,71.65,3.35,-2.15
11-November-2016,153.00,153.85,150.90,152.05,152.104380093794108273,87852,1521,13362674.00,26239,29.87,2.95,-0.95
10-November-2016,157.00,157.00,154.05,154.80,155.040621149897330595,194800,2387,30201913.00,96740,49.66,2.95,-2.20
9-November-2016,147.00,155.40,146.00,154.10,152.443626263184770553,307457,4072,46869860.00,68408,22.25,9.40,7.10
8-November-2016,155.10,156.50,153.55,154.10,155.427236948720916772,86390,876,13427359.00,30243,35.01,2.95,-1.00
7-November-2016,154.00,156.80,153.45,155.20,155.619990089270525934,270414,1437,42081824.00,192763,71.28,3.35,1.20
4-November-2016,153.80,155.35,152.95,153.40,154.079417953617714196,134491,1332,20722295.00,44369,32.99,2.40,-0.40
3-November-2016,156.10,157.30,152.20,152.95,154.692090809585239044,204648,2265,31657427.00,63062,30.81,5.10,-3.15
2-November-2016,155.00,157.85,153.95,156.10,156.398921515732439475,348452,2769,54497517.00,87222,25.03,3.90,1.10
1-November-2016,151.00,156.55,150.70,154.95,153.866743683951365478,264010,2585,40622359.00,99187,37.57,5.85,3.95
