Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,281.95,290.90,281.95,289.00,287.638794952740489550,320253,4141,92117187.00,94443,29.49,8.95,7.05
29-November-2016,283.75,287.70,281.50,284.70,284.437961040851187694,783282,5250,222795135.00,437102,55.80,6.20,0.95
28-November-2016,276.00,285.40,274.95,284.00,281.095006734440774705,449926,4948,126471952.00,228294,50.74,10.45,8.00
25-November-2016,278.00,279.75,275.60,278.25,277.201122385185924397,340703,3580,94443254.00,41885,12.29,4.15,0.25
24-November-2016,279.40,280.80,276.00,277.85,278.605697906987731703,126994,2292,35381252.00,32975,25.97,4.80,-1.55
23-November-2016,279.15,281.40,276.00,279.40,278.938100439168086399,834077,4538,232655854.00,616461,73.91,5.40,0.25
22-November-2016,280.55,283.50,275.35,277.95,278.716245854599336735,340136,5512,94801429.00,91379,26.87,8.15,-2.60
21-November-2016,276.00,278.00,272.55,275.70,275.513070751898950243,234340,5014,64563733.00,72738,31.04,5.45,-0.30
18-November-2016,275.00,277.50,273.65,275.30,276.302747653105258317,565428,5755,156229310.00,208894,36.94,3.85,0.30
17-November-2016,276.00,277.60,270.30,273.00,274.498958422422324581,327388,3512,89867665.00,34305,10.48,7.30,-3.00
16-November-2016,277.00,284.25,271.00,272.35,277.758494684427467526,410492,6105,114017640.00,67511,16.45,13.25,-4.65
15-November-2016,268.15,285.40,268.15,275.80,276.550684039087947882,399100,6561,110371378.00,89928,22.53,17.25,7.65
11-November-2016,271.20,278.80,270.40,273.35,274.545702688671082233,254252,4991,69803794.00,61112,24.04,8.40,2.15
10-November-2016,271.20,279.30,271.20,275.90,276.546134835091771674,377513,4145,104399761.00,120907,32.03,8.10,4.70
9-November-2016,257.40,271.20,250.90,269.90,262.454989694994321403,622513,9271,163381643.00,133370,21.42,20.30,12.50
8-November-2016,270.90,272.20,265.80,270.80,268.766686939334042876,342004,3966,91919282.00,104715,30.62,6.40,-0.10
7-November-2016,280.00,280.00,266.60,267.35,270.246308502741232973,447244,6319,120866040.00,92595,20.70,13.40,-12.65
4-November-2016,269.00,271.85,265.05,269.65,269.592282215402935855,698672,6893,188356579.00,404133,57.84,6.80,0.65
3-November-2016,275.00,275.00,266.50,267.55,270.101232751047822183,616994,12032,166650840.00,202736,32.86,8.50,-7.45
2-November-2016,289.00,289.00,276.00,277.35,279.781487225083378482,1635314,11800,457530583.00,1110043,67.88,13.00,-11.65
1-November-2016,289.50,290.00,282.10,289.20,286.361887680170520268,384705,5647,110164850.00,97507,25.35,7.90,-0.30
