Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1655.00,1705.50,1651.10,1694.70,1680.615451958853140731,9138,1443,15357464.00,2378,26.02,54.40,39.70
29-November-2016,1660.00,1740.80,1633.00,1647.80,1684.027887307846162637,17499,2768,29468804.00,3279,18.74,107.80,-12.20
28-November-2016,1650.00,1676.40,1641.25,1647.55,1655.119698771304003170,5046,656,8351734.00,1803,35.73,35.15,-2.45
25-November-2016,1651.00,1671.80,1642.00,1659.50,1659.030943091618458226,7433,1190,12331577.00,1999,26.89,29.80,8.50
24-November-2016,1658.00,1666.80,1574.50,1637.00,1631.310070903361344537,15232,1637,24848115.00,2875,18.87,92.30,-21.00
23-November-2016,1510.00,1690.00,1510.00,1655.85,1574.732863187588152327,46085,4892,72571564.00,20935,45.43,180.00,145.85
22-November-2016,1460.00,1510.00,1437.40,1497.80,1479.753445635528330781,9795,1365,14494185.00,3425,34.97,72.60,37.80
21-November-2016,1445.00,1504.25,1430.00,1442.85,1465.144334174763995988,28919,2961,42370509.00,9941,34.38,74.25,-2.15
18-November-2016,1427.80,1467.95,1425.00,1445.15,1444.626240986518967499,19138,2481,27647257.00,8058,42.10,42.95,17.35
17-November-2016,1439.00,1442.00,1401.70,1425.10,1423.048672566371681415,9718,1927,13829187.00,3587,36.91,40.30,-13.90
16-November-2016,1452.00,1460.80,1418.00,1429.60,1433.302048108211574044,15673,1721,22464143.00,4554,29.06,42.80,-22.40
15-November-2016,1525.00,1533.90,1377.50,1405.85,1477.838267129839399889,79452,4640,117417206.00,33698,42.41,156.40,-119.15
11-November-2016,1576.00,1599.50,1516.75,1521.80,1536.216984679011185261,21278,2163,32687625.00,8204,38.56,82.75,-54.20
10-November-2016,1655.00,1701.50,1581.00,1594.80,1648.758279518928846495,16879,2425,27829391.00,6455,38.24,120.50,-60.20
9-November-2016,1589.00,1651.00,1480.15,1633.00,1605.632370913534983195,26184,2791,42041878.00,8610,32.88,170.85,44.00
8-November-2016,1670.00,1695.35,1633.00,1679.25,1651.275380775304365544,19631,1379,32416187.00,13721,69.89,62.35,9.25
7-November-2016,1630.00,1700.00,1630.00,1663.60,1672.868683396356136129,14545,1891,24331875.00,5959,40.97,70.00,33.60
4-November-2016,1637.25,1644.95,1589.00,1611.35,1614.987243217344433131,16697,2319,26965442.00,6747,40.41,55.95,-25.90
3-November-2016,1681.85,1725.00,1610.00,1637.35,1674.119300605245460659,14870,1836,24894154.00,7136,47.99,115.00,-44.50
2-November-2016,1747.00,1747.00,1684.00,1692.25,1710.129977764301596927,19788,2136,33840052.00,8008,40.47,63.00,-54.75
1-November-2016,1810.00,1810.00,1738.90,1750.15,1777.420427709262660718,15244,2240,27094997.00,5809,38.11,71.10,-59.85
