Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,374.00,390.50,371.00,388.55,383.660588646330297335,166008,5221,63690727.00,51883,31.25,19.50,14.55
29-November-2016,375.00,376.70,368.30,370.15,372.232329169728141072,54440,1916,20264328.00,18722,34.39,8.40,-4.85
28-November-2016,378.00,378.00,367.50,370.15,371.735733329448272847,68639,1844,25515569.00,9650,14.06,10.50,-7.85
25-November-2016,372.70,375.85,369.00,372.95,372.936654913383412540,65230,2048,24326658.00,9092,13.94,6.85,0.25
24-November-2016,376.50,378.25,368.75,371.40,374.220095373919244139,89752,2431,33587002.00,25201,28.08,9.50,-5.10
23-November-2016,384.00,384.50,373.00,376.75,378.955889468308155475,186010,4354,70489585.00,24903,13.39,11.50,-7.25
22-November-2016,372.00,379.80,368.50,377.55,375.835877750106836032,135722,4182,51009197.00,30587,22.54,11.30,5.55
21-November-2016,377.00,382.90,365.00,367.15,376.188268291079606459,273822,6632,103008624.00,37322,13.63,17.90,-9.85
18-November-2016,368.00,378.85,363.00,376.45,370.525591723746397243,894801,18175,331546670.00,63090,7.05,15.85,8.45
17-November-2016,356.25,356.80,343.35,347.35,348.319983875986535034,141404,5482,49253839.00,34290,24.25,13.45,-8.90
16-November-2016,363.15,365.80,352.00,352.80,356.197361151015536941,90494,2499,32233724.00,17823,19.70,13.80,-10.35
15-November-2016,368.00,370.80,333.10,359.25,355.146143060197456878,208248,3865,73958474.00,97298,46.72,37.70,-8.75
11-November-2016,390.00,390.00,359.40,361.25,366.794958520537802682,118854,3296,43595048.00,46028,38.73,30.60,-28.75
10-November-2016,367.00,392.30,367.00,388.35,382.508679973506251379,122293,3878,46778134.00,41140,33.64,25.30,21.35
9-November-2016,349.00,368.20,325.80,366.40,352.217409212286133440,216081,5875,76107490.00,50443,23.34,42.40,17.40
8-November-2016,358.00,363.65,354.50,361.65,358.673795591459099304,57933,1722,20779049.00,18286,31.56,9.15,3.65
7-November-2016,363.00,364.95,353.00,356.35,357.031022717069228697,66822,1657,23857527.00,15850,23.72,11.95,-6.65
4-November-2016,356.00,364.30,350.85,360.25,357.295024852510800390,107635,2697,38457450.00,24656,22.91,13.45,4.25
3-November-2016,366.00,369.35,352.05,355.50,362.036721828211189913,57105,1855,20674107.00,14265,24.98,17.30,-10.50
2-November-2016,380.50,380.50,365.00,367.00,372.002310277999802914,91331,3868,33975343.00,26972,29.53,15.50,-13.50
1-November-2016,392.20,394.50,381.00,382.75,388.363181120225760489,72289,2418,28074386.00,24350,33.68,13.50,-9.45
