Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,6581.50,6635.00,6569.95,6609.75,6590.498579545454545454,704,132,4639711.00,374,53.12,65.05,28.25
29-November-2016,6645.85,6659.95,6540.00,6601.60,6597.910324640766365087,11274,53,74384841.00,11260,99.88,119.95,-44.25
28-November-2016,6554.80,6620.00,6554.80,6611.00,6594.557377049180327868,61,23,402268.00,54,88.52,65.20,56.20
25-November-2016,6501.55,6551.10,6472.00,6532.85,6515.840000000000000000,125,45,814480.00,110,88.00,79.10,31.30
24-November-2016,6548.15,6749.90,6500.00,6511.30,6520.355012224938875305,4090,40,26668252.00,4054,99.12,249.90,-36.85
23-November-2016,6576.45,6648.40,6551.00,6579.35,6598.930769230769230769,130,47,857861.00,119,91.54,97.40,2.90
22-November-2016,6541.00,6600.00,6460.00,6586.00,6529.460829493087557603,217,78,1416893.00,143,65.90,140.00,45.00
21-November-2016,6560.85,6560.85,6427.85,6548.10,6501.149572649572649572,234,87,1521269.00,185,79.06,133.00,-12.75
18-November-2016,6526.00,6570.00,6470.00,6560.85,6506.622950819672131147,305,82,1984520.00,182,59.67,100.00,34.85
17-November-2016,6629.95,6629.95,6500.00,6530.65,6525.779605263157894736,304,66,1983837.00,279,91.78,129.95,-99.30
16-November-2016,6735.00,6735.00,6632.40,6644.90,6672.810256410256410256,195,55,1301198.00,135,69.23,102.60,-90.10
15-November-2016,6900.00,6900.00,6600.00,6733.80,6728.989808153477218225,1668,234,11223955.00,1215,72.84,300.00,-166.20
11-November-2016,6924.00,6990.00,6879.65,6899.25,6918.919191919191919191,99,46,684973.00,69,69.70,110.35,-24.75
10-November-2016,7008.65,7111.00,6950.00,6995.00,7020.425414364640883977,181,69,1270697.00,90,49.72,161.00,-13.65
9-November-2016,6701.00,7225.00,6650.00,7058.60,6848.851503759398496240,1064,271,7287178.00,504,47.37,575.00,357.60
8-November-2016,6866.85,6971.40,6866.85,6914.60,6902.220338983050847457,118,45,814462.00,90,76.27,104.55,47.75
7-November-2016,7001.95,7030.00,6875.00,6923.40,6945.598639455782312925,147,81,1021003.00,102,69.39,155.00,-78.55
4-November-2016,7100.00,7100.00,6960.50,7018.20,7002.420833333333333333,240,59,1680581.00,213,88.75,139.50,-81.80
3-November-2016,7167.00,7187.00,7041.00,7069.55,7074.049382716049382716,486,90,3437988.00,398,81.89,146.00,-97.45
2-November-2016,7028.10,7200.00,7010.65,7166.85,7116.102272727272727272,352,183,2504868.00,272,77.27,189.35,138.75
1-November-2016,7025.00,7044.00,6958.10,7028.70,7026.424242424242424242,198,45,1391232.00,167,84.34,85.90,3.70
